序列号	原始表格名	语言	字段	说明
1	actinfo	zh-CN	act	章节编号
2	actinfo	zh-CN	town	城镇名称
3	actinfo	zh-CN	start	起始地图
4	actinfo	zh-CN	maxnpcitemlevel	NPC物品等级上限
5	actinfo	zh-CN	classlevelrangestart	怪物等级范围起始
6	actinfo	zh-CN	classlevelrangeend	怪物等级范围结束
7	actinfo	zh-CN	wanderingnpcstart	游荡NPC起始
8	actinfo	zh-CN	wanderingnpcrange	游荡NPC范围
9	actinfo	zh-CN	commonactcof	公共COF文件
10	actinfo	zh-CN	waypoint1	传送点1
11	actinfo	zh-CN	waypoint2	传送点2
12	actinfo	zh-CN	waypoint3	传送点3
13	actinfo	zh-CN	waypoint4	传送点4
14	actinfo	zh-CN	waypoint5	传送点5
15	actinfo	zh-CN	waypoint6	传送点6
16	actinfo	zh-CN	waypoint7	传送点7
17	actinfo	zh-CN	waypoint8	传送点8
18	actinfo	zh-CN	waypoint9	传送点9
19	actinfo	zh-CN	wanderingMonsterPopulateChance	游荡怪物刷新概率
20	actinfo	zh-CN	wanderingMonsterRegionTotal	游荡怪物区域总数
21	actinfo	zh-CN	wanderingPopulateRandomChance	游荡随机刷新概率
