序列号	原始表格名	语言	字段	说明
1	armor	zh-CN	name	护甲名称
2	armor	zh-CN	version	版本
3	armor	zh-CN	compactsave	压缩保存
4	armor	zh-CN	rarity	稀有度
5	armor	zh-CN	spawnable	可生成
6	armor	zh-CN	DropConditionCalc	掉落条件计算
7	armor	zh-CN	minac	最小防御
8	armor	zh-CN	maxac	最大防御
9	armor	zh-CN	speed	攻击速度
10	armor	zh-CN	reqstr	力量需求
11	armor	zh-CN	reqdex	敏捷需求
12	armor	zh-CN	block	格挡率
13	armor	zh-CN	durability	耐久度
14	armor	zh-CN	nodurability	无耐久度
15	armor	zh-CN	level	物品等级
16	armor	zh-CN	ShowLevel	显示等级
17	armor	zh-CN	levelreq	等级需求
18	armor	zh-CN	cost	售价
19	armor	zh-CN	gamble cost	赌博成本
20	armor	zh-CN	code	物品代码
21	armor	zh-CN	namestr	名称字符串
22	armor	zh-CN	magic lvl	魔法等级
23	armor	zh-CN	auto prefix	自动前缀
24	armor	zh-CN	alternategfx	替代图形
25	armor	zh-CN	normcode	普通物品代码
26	armor	zh-CN	ubercode	精华物品代码
27	armor	zh-CN	ultracode	终极物品代码
28	armor	zh-CN	component	组件
29	armor	zh-CN	invwidth	背包宽度
30	armor	zh-CN	invheight	背包高度
31	armor	zh-CN	hasinv	有背包
32	armor	zh-CN	gemsockets	宝石插槽
33	armor	zh-CN	gemapplytype	宝石应用类型
34	armor	zh-CN	flippyfile	翻转动画文件
35	armor	zh-CN	invfile	背包图形文件
36	armor	zh-CN	uniqueinvfile	暗金背包图形
37	armor	zh-CN	setinvfile	套装背包图形
38	armor	zh-CN	rArm	右手装备
39	armor	zh-CN	lArm	左手装备
40	armor	zh-CN	Torso	躯干装备
41	armor	zh-CN	Legs	腿部装备
42	armor	zh-CN	rSPad	右手副手
43	armor	zh-CN	lSPad	左手副手
44	armor	zh-CN	useable	可使用
45	armor	zh-CN	stackable	可堆叠
46	armor	zh-CN	minstack	最小堆叠
47	armor	zh-CN	maxstack	最大堆叠
48	armor	zh-CN	spawnstack	生成堆叠
49	armor	zh-CN	Transmogrify	可转化
50	armor	zh-CN	TMogType	外观类型
51	armor	zh-CN	TMogMin	外观最小等级
52	armor	zh-CN	TMogMax	外观最大等级
53	armor	zh-CN	type	物品类型
54	armor	zh-CN	type2	物品类型2
55	armor	zh-CN	dropsound	掉落音效
56	armor	zh-CN	dropsfxframe	掉落特效帧
57	armor	zh-CN	usesound	使用音效
58	armor	zh-CN	unique	暗金物品
59	armor	zh-CN	transparent	透明
60	armor	zh-CN	transtbl	透明表
61	armor	zh-CN	*quivered	箭袋
62	armor	zh-CN	lightradius	光源半径
63	armor	zh-CN	belt	腰带
64	armor	zh-CN	quest	任务物品
65	armor	zh-CN	questdiffcheck	任务难度检查
66	armor	zh-CN	missiletype	投射物类型
67	armor	zh-CN	durwarning	耐久警告
68	armor	zh-CN	qntwarning	数量警告
69	armor	zh-CN	mindam	最小伤害
70	armor	zh-CN	maxdam	最大伤害
71	armor	zh-CN	StrBonus	力量加成
72	armor	zh-CN	DexBonus	敏捷加成
73	armor	zh-CN	gemoffset	宝石偏移
74	armor	zh-CN	bitfield1	位域1
75	armor	zh-CN	CharsiMin	恰西最小值
76	armor	zh-CN	CharsiMax	恰西最大值
77	armor	zh-CN	CharsiMagicMin	恰西魔法最小
78	armor	zh-CN	CharsiMagicMax	恰西魔法最大
79	armor	zh-CN	CharsiMagicLvl	恰西魔法等级
80	armor	zh-CN	GheedMin	基德最小值
81	armor	zh-CN	GheedMax	基德最大值
82	armor	zh-CN	GheedMagicMin	基德魔法最小
83	armor	zh-CN	GheedMagicMax	基德魔法最大
84	armor	zh-CN	GheedMagicLvl	基德魔法等级
85	armor	zh-CN	AkaraMin	阿卡拉最小值
86	armor	zh-CN	AkaraMax	阿卡拉最大值
87	armor	zh-CN	AkaraMagicMin	阿卡拉魔法最小
88	armor	zh-CN	AkaraMagicMax	阿卡拉魔法最大
89	armor	zh-CN	AkaraMagicLvl	阿卡拉魔法等级
90	armor	zh-CN	FaraMin	法拉最小值
91	armor	zh-CN	FaraMax	法拉最大值
92	armor	zh-CN	FaraMagicMin	法拉魔法最小
93	armor	zh-CN	FaraMagicMax	法拉魔法最大
94	armor	zh-CN	FaraMagicLvl	法拉魔法等级
95	armor	zh-CN	LysanderMin	莱安德最小值
96	armor	zh-CN	LysanderMax	莱安德最大值
97	armor	zh-CN	LysanderMagicMin	莱安德魔法最小
98	armor	zh-CN	LysanderMagicMax	莱安德魔法最大
99	armor	zh-CN	LysanderMagicLvl	莱安德魔法等级
100	armor	zh-CN	DrognanMin	德罗安最小值
101	armor	zh-CN	DrognanMax	德罗安最大值
102	armor	zh-CN	DrognanMagicMin	德罗安魔法最小
103	armor	zh-CN	DrognanMagicMax	德罗安魔法最大
