序列号	原始表格名	语言	字段	说明
1	automagic	zh-CN	Name	魔法词缀名称
2	automagic	zh-CN	version	版本
3	automagic	zh-CN	spawnable	可生成
4	automagic	zh-CN	rare	稀有
5	automagic	zh-CN	level	等级
6	automagic	zh-CN	maxlevel	最大等级
7	automagic	zh-CN	levelreq	等级需求
8	automagic	zh-CN	classspecific	职业专属
9	automagic	zh-CN	class	职业
10	automagic	zh-CN	classlevelreq	职业等级需求
11	automagic	zh-CN	frequency	频率
12	automagic	zh-CN	group	组
13	automagic	zh-CN	mod1code	词缀1代码
14	automagic	zh-CN	mod1param	词缀1参数
15	automagic	zh-CN	mod1min	词缀1最小值
16	automagic	zh-CN	mod1max	词缀1最大值
17	automagic	zh-CN	mod2code	词缀2代码
18	automagic	zh-CN	mod2param	词缀2参数
19	automagic	zh-CN	mod2min	词缀2最小值
20	automagic	zh-CN	mod2max	词缀2最大值
21	automagic	zh-CN	mod3code	词缀3代码
22	automagic	zh-CN	mod3param	词缀3参数
23	automagic	zh-CN	mod3min	词缀3最小值
24	automagic	zh-CN	mod3max	词缀3最大值
25	automagic	zh-CN	transformcolor	变形颜色
26	automagic	zh-CN	itype1	物品类型1
27	automagic	zh-CN	itype2	物品类型2
28	automagic	zh-CN	itype3	物品类型3
29	automagic	zh-CN	itype4	物品类型4
30	automagic	zh-CN	itype5	物品类型5
31	automagic	zh-CN	itype6	物品类型6
32	automagic	zh-CN	itype7	物品类型7
33	automagic	zh-CN	etype1	装备类型1
34	automagic	zh-CN	etype2	装备类型2
35	automagic	zh-CN	etype3	装备类型3
36	automagic	zh-CN	etype4	装备类型4
37	automagic	zh-CN	etype5	装备类型5
38	automagic	zh-CN	multiply	乘法系数
39	automagic	zh-CN	add	加法系数
