序列号	原始表格名	语言	字段	说明
1	belts	zh-CN	name	腰带名称
2	belts	zh-CN	numboxes	格子数量
3	belts	zh-CN	box1left	格子1左
4	belts	zh-CN	box1right	格子1右
5	belts	zh-CN	box1top	格子1上
6	belts	zh-CN	box1bottom	格子1下
7	belts	zh-CN	box2left	格子2左
8	belts	zh-CN	box2right	格子2右
9	belts	zh-CN	box2top	格子2上
10	belts	zh-CN	box2bottom	格子2下
11	belts	zh-CN	box3left	格子3左
12	belts	zh-CN	box3right	格子3右
13	belts	zh-CN	box3top	格子3上
14	belts	zh-CN	box3bottom	格子3下
15	belts	zh-CN	box4left	格子4左
16	belts	zh-CN	box4right	格子4右
17	belts	zh-CN	box4top	格子4上
18	belts	zh-CN	box4bottom	格子4下
19	belts	zh-CN	box5left	格子5左
20	belts	zh-CN	box5right	格子5右
21	belts	zh-CN	box5top	格子5上
22	belts	zh-CN	box5bottom	格子5下
23	belts	zh-CN	box6left	格子6左
24	belts	zh-CN	box6right	格子6右
25	belts	zh-CN	box6top	格子6上
26	belts	zh-CN	box6bottom	格子6下
27	belts	zh-CN	box7left	格子7左
28	belts	zh-CN	box7right	格子7右
29	belts	zh-CN	box7top	格子7上
30	belts	zh-CN	box7bottom	格子7下
31	belts	zh-CN	box8left	格子8左
32	belts	zh-CN	box8right	格子8右
33	belts	zh-CN	box8top	格子8上
34	belts	zh-CN	box8bottom	格子8下
35	belts	zh-CN	box9left	格子9左
36	belts	zh-CN	box9right	格子9右
37	belts	zh-CN	box9top	格子9上
38	belts	zh-CN	box9bottom	格子9下
39	belts	zh-CN	box10left	格子10左
40	belts	zh-CN	box10right	格子10右
41	belts	zh-CN	box10top	格子10上
42	belts	zh-CN	box10bottom	格子10下
43	belts	zh-CN	box11left	格子11左
44	belts	zh-CN	box11right	格子11右
45	belts	zh-CN	box11top	格子11上
46	belts	zh-CN	box11bottom	格子11下
47	belts	zh-CN	box12left	格子12左
48	belts	zh-CN	box12right	格子12右
49	belts	zh-CN	box12top	格子12上
50	belts	zh-CN	box12bottom	格子12下
51	belts	zh-CN	box13left	格子13左
52	belts	zh-CN	box13right	格子13右
53	belts	zh-CN	box13top	格子13上
54	belts	zh-CN	box13bottom	格子13下
55	belts	zh-CN	box14left	格子14左
56	belts	zh-CN	box14right	格子14右
57	belts	zh-CN	box14top	格子14上
58	belts	zh-CN	box14bottom	格子14下
59	belts	zh-CN	box15left	格子15左
60	belts	zh-CN	box15right	格子15右
61	belts	zh-CN	box15top	格子15上
62	belts	zh-CN	box15bottom	格子15下
63	belts	zh-CN	box16left	格子16左
64	belts	zh-CN	box16right	格子16右
65	belts	zh-CN	box16top	格子16上
66	belts	zh-CN	box16bottom	格子16下
67	belts	zh-CN	defaultItemTypeCol1	默认物品类型列1
68	belts	zh-CN	defaultItemCodeCol1	默认物品代码列1
69	belts	zh-CN	defaultItemTypeCol2	默认物品类型列2
70	belts	zh-CN	defaultItemCodeCol2	默认物品代码列2
71	belts	zh-CN	defaultItemTypeCol3	默认物品类型列3
72	belts	zh-CN	defaultItemCodeCol3	默认物品代码列3
73	belts	zh-CN	defaultItemTypeCol4	默认物品类型列4
74	belts	zh-CN	defaultItemCodeCol4	默认物品代码列4
