序列号	原始表格名	语言	字段	说明
1	difficultylevels	zh-CN	Name	难度名称
2	difficultylevels	zh-CN	ResistPenalty	抗性惩罚
3	difficultylevels	zh-CN	ResistPenaltyNonExpansion	非扩展抗性惩罚
4	difficultylevels	zh-CN	DeathExpPenalty	死亡经验惩罚
5	difficultylevels	zh-CN	MonsterSkillBonus	怪物技能加成
6	difficultylevels	zh-CN	MonsterFreezeDivisor	怪物冰冻除数
7	difficultylevels	zh-CN	MonsterColdDivisor	怪物冰冷除数
8	difficultylevels	zh-CN	AiCurseDivisor	诅咒除数
9	difficultylevels	zh-CN	LifeStealDivisor	生命偷取除数
10	difficultylevels	zh-CN	ManaStealDivisor	法力偷取除数
11	difficultylevels	zh-CN	UniqueDamageBonus	独特伤害加成
12	difficultylevels	zh-CN	ChampionDamageBonus	Champ伤害加成
13	difficultylevels	zh-CN	PlayerDamagePercentVSPlayer	玩家对玩家伤害百分比
14	difficultylevels	zh-CN	PlayerDamagePercentVSMercenary	玩家对佣兵伤害百分比
15	difficultylevels	zh-CN	PlayerDamagePercentVSPrimeEvil	玩家对Boss伤害百分比
16	difficultylevels	zh-CN	PlayerHitReactBufferVSPlayer	玩家对玩家反击缓冲
17	difficultylevels	zh-CN	PlayerHitReactBufferVSMonster	玩家对怪物反击缓冲
18	difficultylevels	zh-CN	MercenaryDamagePercentVSPlayer	佣兵对玩家伤害百分比
19	difficultylevels	zh-CN	MercenaryDamagePercentVSMercenary	佣兵对佣兵伤害百分比
20	difficultylevels	zh-CN	MercenaryDamagePercentVSBoss	佣兵对Boss伤害百分比
21	difficultylevels	zh-CN	MercenaryMaxStunLength	佣兵最大眩晕时间
22	difficultylevels	zh-CN	PrimeEvilDamagePercentVSPlayer	Boss对玩家伤害百分比
23	difficultylevels	zh-CN	PrimeEvilDamagePercentVSMercenary	Boss对佣兵伤害百分比
24	difficultylevels	zh-CN	PrimeEvilDamagePercentVSPet	Boss对宠物伤害百分比
25	difficultylevels	zh-CN	PetDamagePercentVSPlayer	宠物对玩家伤害百分比
26	difficultylevels	zh-CN	MonsterCEDamagePercent	怪物CE伤害百分比
27	difficultylevels	zh-CN	MonsterFireEnchantExplosionDamagePercent	怪物点燃爆炸伤害百分比
28	difficultylevels	zh-CN	StaticFieldMin	静态领域最小值
29	difficultylevels	zh-CN	GambleRare	赌博稀有
30	difficultylevels	zh-CN	GambleSet	赌博套装
31	difficultylevels	zh-CN	GambleUnique	赌博暗金
32	difficultylevels	zh-CN	GambleUber	赌博超级
33	difficultylevels	zh-CN	GambleUltra	赌博终极
34	difficultylevels	zh-CN	ResistFloor	抗性下限
