序列号	原始表格名	语言	字段	说明
1	gems	zh-CN	name	宝石名称
2	gems	zh-CN	letter	字母
3	gems	zh-CN	transform	变形
4	gems	zh-CN	code	物品代码
5	gems	zh-CN	weaponMod1Code	武器词缀1代码
6	gems	zh-CN	weaponMod1Param	武器词缀1参数
7	gems	zh-CN	weaponMod1Min	武器词缀1最小
8	gems	zh-CN	weaponMod1Max	武器词缀1最大
9	gems	zh-CN	weaponMod2Code	武器词缀2代码
10	gems	zh-CN	weaponMod2Param	武器词缀2参数
11	gems	zh-CN	weaponMod2Min	武器词缀2最小
12	gems	zh-CN	weaponMod2Max	武器词缀2最大
13	gems	zh-CN	weaponMod3Code	武器词缀3代码
14	gems	zh-CN	weaponMod3Param	武器词缀3参数
15	gems	zh-CN	weaponMod3Min	武器词缀3最小
16	gems	zh-CN	weaponMod3Max	武器词缀3最大
17	gems	zh-CN	helmMod1Code	头盔词缀1代码
18	gems	zh-CN	helmMod1Param	头盔词缀1参数
19	gems	zh-CN	helmMod1Min	头盔词缀1最小
20	gems	zh-CN	helmMod1Max	头盔词缀1最大
21	gems	zh-CN	helmMod2Code	头盔词缀2代码
22	gems	zh-CN	helmMod2Param	头盔词缀2参数
23	gems	zh-CN	helmMod2Min	头盔词缀2最小
24	gems	zh-CN	helmMod2Max	头盔词缀2最大
25	gems	zh-CN	helmMod3Code	头盔词缀3代码
26	gems	zh-CN	helmMod3Param	头盔词缀3参数
27	gems	zh-CN	helmMod3Min	头盔词缀3最小
28	gems	zh-CN	helmMod3Max	头盔词缀3最大
29	gems	zh-CN	shieldMod1Code	盾牌词缀1代码
30	gems	zh-CN	shieldMod1Param	盾牌词缀1参数
31	gems	zh-CN	shieldMod1Min	盾牌词缀1最小
32	gems	zh-CN	shieldMod1Max	盾牌词缀1最大
33	gems	zh-CN	shieldMod2Code	盾牌词缀2代码
34	gems	zh-CN	shieldMod2Param	盾牌词缀2参数
35	gems	zh-CN	shieldMod2Min	盾牌词缀2最小
36	gems	zh-CN	shieldMod2Max	盾牌词缀2最大
37	gems	zh-CN	shieldMod3Code	盾牌词缀3代码
38	gems	zh-CN	shieldMod3Param	盾牌词缀3参数
39	gems	zh-CN	shieldMod3Min	盾牌词缀3最小
40	gems	zh-CN	shieldMod3Max	盾牌词缀3最大
