序列号	原始表格名	语言	字段	说明
1	hireling	zh-CN	Hireling	雇佣兵名称
2	hireling	zh-CN	*SubType	子类型
3	hireling	zh-CN	Version	版本
4	hireling	zh-CN	Id	编号
5	hireling	zh-CN	Class	职业
6	hireling	zh-CN	Act	章节
7	hireling	zh-CN	Difficulty	难度
8	hireling	zh-CN	Level	等级
9	hireling	zh-CN	Seller	卖家
10	hireling	zh-CN	NameFirst	名
11	hireling	zh-CN	NameLast	姓
12	hireling	zh-CN	Gold	金币
13	hireling	zh-CN	Exp/Lvl	每级经验
14	hireling	zh-CN	HP	生命值
15	hireling	zh-CN	HP/Lvl	每级生命
16	hireling	zh-CN	Defense	防御
17	hireling	zh-CN	Def/Lvl	每级防御
18	hireling	zh-CN	Str	力量
19	hireling	zh-CN	Str/Lvl	每级力量
20	hireling	zh-CN	Dex	敏捷
21	hireling	zh-CN	Dex/Lvl	每级敏捷
22	hireling	zh-CN	AR	攻击准确率
23	hireling	zh-CN	AR/Lvl	每级攻击准确率
24	hireling	zh-CN	Dmg-Min	最小伤害
25	hireling	zh-CN	Dmg-Max	最大伤害
26	hireling	zh-CN	Dmg/Lvl	每级伤害
27	hireling	zh-CN	ResistFire	火抗
28	hireling	zh-CN	ResistFire/Lvl	每级火抗
29	hireling	zh-CN	ResistCold	冰抗
30	hireling	zh-CN	ResistCold/Lvl	每级冰抗
31	hireling	zh-CN	ResistLightning	电抗
32	hireling	zh-CN	ResistLightning/Lvl	每级电抗
33	hireling	zh-CN	ResistPoison	毒抗
34	hireling	zh-CN	ResistPoison/Lvl	每级毒抗
35	hireling	zh-CN	HireDesc	雇佣描述
36	hireling	zh-CN	DefaultChance	默认概率
37	hireling	zh-CN	Skill1	技能1
38	hireling	zh-CN	Mode1	模式1
39	hireling	zh-CN	Chance1	概率1
40	hireling	zh-CN	ChancePerLvl1	每级概率1
41	hireling	zh-CN	Level1	等级1
42	hireling	zh-CN	LvlPerLvl1	每级等级1
43	hireling	zh-CN	Skill2	技能2
44	hireling	zh-CN	Mode2	模式2
45	hireling	zh-CN	Chance2	概率2
46	hireling	zh-CN	ChancePerLvl2	每级概率2
47	hireling	zh-CN	Level2	等级2
48	hireling	zh-CN	LvlPerLvl2	每级等级2
49	hireling	zh-CN	Skill3	技能3
50	hireling	zh-CN	Mode3	模式3
51	hireling	zh-CN	Chance3	概率3
52	hireling	zh-CN	ChancePerLvl3	每级概率3
53	hireling	zh-CN	Level3	等级3
54	hireling	zh-CN	LvlPerLvl3	每级等级3
55	hireling	zh-CN	Skill4	技能4
56	hireling	zh-CN	Mode4	模式4
57	hireling	zh-CN	Chance4	概率4
58	hireling	zh-CN	ChancePerLvl4	每级概率4
59	hireling	zh-CN	Level4	等级4
60	hireling	zh-CN	LvlPerLvl4	每级等级4
61	hireling	zh-CN	Skill5	技能5
62	hireling	zh-CN	Mode5	模式5
63	hireling	zh-CN	Chance5	概率5
64	hireling	zh-CN	ChancePerLvl5	每级概率5
65	hireling	zh-CN	Level5	等级5
66	hireling	zh-CN	LvlPerLvl5	每级等级5
67	hireling	zh-CN	Skill6	技能6
68	hireling	zh-CN	Mode6	模式6
69	hireling	zh-CN	Chance6	概率6
70	hireling	zh-CN	ChancePerLvl6	每级概率6
71	hireling	zh-CN	Level6	等级6
72	hireling	zh-CN	LvlPerLvl6	每级等级6
73	hireling	zh-CN	HiringMaxLevelDifference	雇佣最大等级差
74	hireling	zh-CN	resurrectcostmultiplier	复活成本乘数
75	hireling	zh-CN	resurrectcostdivisor	复活成本除数
76	hireling	zh-CN	resurrectcostmax	复活成本上限
77	hireling	zh-CN	equivalentcharclass	等效职业
