序列号	原始表格名	语言	字段	说明
1	inventory	zh-CN	class	职业
2	inventory	zh-CN	invLeft	背包左
3	inventory	zh-CN	invRight	背包右
4	inventory	zh-CN	invTop	背包上
5	inventory	zh-CN	invBottom	背包下
6	inventory	zh-CN	gridX	网格X
7	inventory	zh-CN	gridY	网格Y
8	inventory	zh-CN	gridLeft	网格左
9	inventory	zh-CN	gridRight	网格右
10	inventory	zh-CN	gridTop	网格上
11	inventory	zh-CN	gridBottom	网格下
12	inventory	zh-CN	gridBoxWidth	网格宽度
13	inventory	zh-CN	gridBoxHeight	网格高度
14	inventory	zh-CN	rArmLeft	右手左
15	inventory	zh-CN	rArmRight	右手右
16	inventory	zh-CN	rArmTop	右手上
17	inventory	zh-CN	rArmBottom	右手下
18	inventory	zh-CN	rArmWidth	右手宽度
19	inventory	zh-CN	rArmHeight	右手高度
20	inventory	zh-CN	torsoLeft	躯干左
21	inventory	zh-CN	torsoRight	躯干右
22	inventory	zh-CN	torsoTop	躯干上
23	inventory	zh-CN	torsoBottom	躯干下
24	inventory	zh-CN	torsoWidth	躯干宽度
25	inventory	zh-CN	torsoHeight	躯干高度
26	inventory	zh-CN	lArmLeft	左手左
27	inventory	zh-CN	lArmRight	左手右
28	inventory	zh-CN	lArmTop	左手上
29	inventory	zh-CN	lArmBottom	左手下
30	inventory	zh-CN	lArmWidth	左手宽度
31	inventory	zh-CN	lArmHeight	左手高度
32	inventory	zh-CN	headLeft	头部左
33	inventory	zh-CN	headRight	头部右
34	inventory	zh-CN	headTop	头部上
35	inventory	zh-CN	headBottom	头部下
36	inventory	zh-CN	headWidth	头部宽度
37	inventory	zh-CN	headHeight	头部高度
38	inventory	zh-CN	neckLeft	项链左
39	inventory	zh-CN	neckRight	项链右
40	inventory	zh-CN	neckTop	项链上
41	inventory	zh-CN	neckBottom	项链下
42	inventory	zh-CN	neckWidth	项链宽度
43	inventory	zh-CN	neckHeight	项链高度
44	inventory	zh-CN	rHandLeft	右手物品左
45	inventory	zh-CN	rHandRight	右手物品右
46	inventory	zh-CN	rHandTop	右手物品上
47	inventory	zh-CN	rHandBottom	右手物品下
48	inventory	zh-CN	rHandWidth	右手物品宽度
49	inventory	zh-CN	rHandHeight	右手物品高度
50	inventory	zh-CN	lHandLeft	左手物品左
51	inventory	zh-CN	lHandRight	左手物品右
52	inventory	zh-CN	lHandTop	左手物品上
53	inventory	zh-CN	lHandBottom	左手物品下
54	inventory	zh-CN	lHandWidth	左手物品宽度
55	inventory	zh-CN	lHandHeight	左手物品高度
56	inventory	zh-CN	beltLeft	腰带左
57	inventory	zh-CN	beltRight	腰带右
58	inventory	zh-CN	beltTop	腰带上
59	inventory	zh-CN	beltBottom	腰带下
60	inventory	zh-CN	beltWidth	腰带宽度
61	inventory	zh-CN	beltHeight	腰带高度
62	inventory	zh-CN	feetLeft	脚部左
63	inventory	zh-CN	feetRight	脚部右
64	inventory	zh-CN	feetTop	脚部上
65	inventory	zh-CN	feetBottom	脚部下
66	inventory	zh-CN	feetWidth	脚部宽度
67	inventory	zh-CN	feetHeight	脚部高度
68	inventory	zh-CN	glovesLeft	手套左
69	inventory	zh-CN	glovesRight	手套右
70	inventory	zh-CN	glovesTop	手套上
71	inventory	zh-CN	glovesBottom	手套下
72	inventory	zh-CN	glovesWidth	手套宽度
73	inventory	zh-CN	glovesHeight	手套高度
