序列号	原始表格名	语言	字段	说明
1	itemtypes	zh-CN	ItemType	物品类型
2	itemtypes	zh-CN	Code	代码
3	itemtypes	zh-CN	Equiv1	等价1
4	itemtypes	zh-CN	Equiv2	等价2
5	itemtypes	zh-CN	Repair	修复
6	itemtypes	zh-CN	Body	身体
7	itemtypes	zh-CN	BodyLoc1	装备位置1
8	itemtypes	zh-CN	BodyLoc2	装备位置2
9	itemtypes	zh-CN	Shoots	投射
10	itemtypes	zh-CN	Quiver	箭袋
11	itemtypes	zh-CN	Throwable	投掷
12	itemtypes	zh-CN	Reload	重装
13	itemtypes	zh-CN	ReEquip	重新装备
14	itemtypes	zh-CN	AutoStack	自动堆叠
15	itemtypes	zh-CN	Magic	魔法
16	itemtypes	zh-CN	Rare	稀有
17	itemtypes	zh-CN	Normal	普通
18	itemtypes	zh-CN	Beltable	可放腰带
19	itemtypes	zh-CN	MaxSockets1	最大孔数1
20	itemtypes	zh-CN	MaxSocketsLevelThreshold1	最大孔数等级阈值1
21	itemtypes	zh-CN	MaxSockets2	最大孔数2
22	itemtypes	zh-CN	MaxSocketsLevelThreshold2	最大孔数等级阈值2
23	itemtypes	zh-CN	MaxSockets3	最大孔数3
24	itemtypes	zh-CN	TreasureClass	宝藏等级
25	itemtypes	zh-CN	Rarity	稀有度
26	itemtypes	zh-CN	StaffMods	法杖词缀
27	itemtypes	zh-CN	Class	职业
28	itemtypes	zh-CN	VarInvGfx	可变背包图形
29	itemtypes	zh-CN	InvGfx1	背包图形1
30	itemtypes	zh-CN	InvGfx2	背包图形2
31	itemtypes	zh-CN	InvGfx3	背包图形3
32	itemtypes	zh-CN	InvGfx4	背包图形4
33	itemtypes	zh-CN	InvGfx5	背包图形5
34	itemtypes	zh-CN	InvGfx6	背包图形6
35	itemtypes	zh-CN	StorePage	商店页面
36	itemtypes	zh-CN	*eol	行结束标记
37	itemtypes	zh-CN	UICategory	UI分类
38	itemtypes	zh-CN	RunewordCategory1	符文词缀分类1
39	itemtypes	zh-CN	RunewordCategory2	符文词缀分类2
40	itemtypes	zh-CN	Restricted	限制
