序列号	原始表格名	语言	字段	说明
1	levels	zh-CN	Name	地图名称
2	levels	zh-CN	*StringName	字符串名称
3	levels	zh-CN	Id	编号
4	levels	zh-CN	Pal	面板
5	levels	zh-CN	Act	章节
6	levels	zh-CN	QuestFlag	任务标志
7	levels	zh-CN	QuestFlagEx	任务标志扩展
8	levels	zh-CN	Layer	层级
9	levels	zh-CN	SizeX	X尺寸
10	levels	zh-CN	SizeY	Y尺寸
11	levels	zh-CN	SizeX(N)	X尺寸噩梦
12	levels	zh-CN	SizeY(N)	Y尺寸噩梦
13	levels	zh-CN	SizeX(H)	X尺寸地狱
14	levels	zh-CN	SizeY(H)	Y尺寸地狱
15	levels	zh-CN	OffsetX	X偏移
16	levels	zh-CN	OffsetY	Y偏移
17	levels	zh-CN	Depend	依赖
18	levels	zh-CN	Teleport	传送
19	levels	zh-CN	Rain	雨
20	levels	zh-CN	Mud	泥
21	levels	zh-CN	NoPer	无人
22	levels	zh-CN	LOSDraw	视线绘制
23	levels	zh-CN	FloorFilter	地面过滤
24	levels	zh-CN	BlankScreen	空白屏幕
25	levels	zh-CN	DrawEdges	绘制边缘
26	levels	zh-CN	*IsInside	室内
27	levels	zh-CN	DrlgType	地图类型
28	levels	zh-CN	LevelType	等级类型
29	levels	zh-CN	SubType	子类型
30	levels	zh-CN	SubTheme	子主题
31	levels	zh-CN	SubWaypoint	子传送点
32	levels	zh-CN	SubShrine	子神龛
33	levels	zh-CN	Vis0	可见0
34	levels	zh-CN	Vis1	可见1
35	levels	zh-CN	Vis2	可见2
36	levels	zh-CN	Vis3	可见3
37	levels	zh-CN	Vis4	可见4
38	levels	zh-CN	Vis5	可见5
39	levels	zh-CN	Vis6	可见6
40	levels	zh-CN	Vis7	可见7
41	levels	zh-CN	Warp0	传送门0
42	levels	zh-CN	Warp1	传送门1
43	levels	zh-CN	Warp2	传送门2
44	levels	zh-CN	Warp3	传送门3
45	levels	zh-CN	Warp4	传送门4
46	levels	zh-CN	Warp5	传送门5
47	levels	zh-CN	Warp6	传送门6
48	levels	zh-CN	Warp7	传送门7
49	levels	zh-CN	Intensity	强度
50	levels	zh-CN	Red	红色
51	levels	zh-CN	Green	绿色
52	levels	zh-CN	Blue	蓝色
53	levels	zh-CN	Portal	传送门
54	levels	zh-CN	Position	位置
55	levels	zh-CN	SaveMonsters	保存怪物
56	levels	zh-CN	Quest	任务
57	levels	zh-CN	WarpDist	传送距离
58	levels	zh-CN	MonLvl	怪物等级
59	levels	zh-CN	MonLvl(N)	怪物等级噩梦
60	levels	zh-CN	MonLvl(H)	怪物等级地狱
61	levels	zh-CN	MonLvlEx	怪物等级扩展
62	levels	zh-CN	MonLvlEx(N)	怪物等级扩展噩梦
63	levels	zh-CN	MonLvlEx(H)	怪物等级扩展地狱
64	levels	zh-CN	MonDen	怪物密度
65	levels	zh-CN	MonDen(N)	怪物密度噩梦
66	levels	zh-CN	MonDen(H)	怪物密度地狱
67	levels	zh-CN	MonUMin	怪物独特最小
68	levels	zh-CN	MonUMax	怪物独特最大
69	levels	zh-CN	MonUMin(N)	怪物独特最小噩梦
70	levels	zh-CN	MonUMax(N)	怪物独特最大噩梦
71	levels	zh-CN	MonUMin(H)	怪物独特最小地狱
72	levels	zh-CN	MonUMax(H)	怪物独特最大地狱
73	levels	zh-CN	MonWndr	怪物游荡
74	levels	zh-CN	MonSpcWalk	怪物特殊行走
75	levels	zh-CN	NumMon	怪物数量
76	levels	zh-CN	mon1	怪物1
77	levels	zh-CN	mon2	怪物2
78	levels	zh-CN	mon3	怪物3
79	levels	zh-CN	mon4	怪物4
80	levels	zh-CN	mon5	怪物5
81	levels	zh-CN	mon6	怪物6
82	levels	zh-CN	mon7	怪物7
83	levels	zh-CN	mon8	怪物8
84	levels	zh-CN	mon9	怪物9
85	levels	zh-CN	mon10	怪物10
86	levels	zh-CN	mon11	怪物11
87	levels	zh-CN	mon12	怪物12
88	levels	zh-CN	mon13	怪物13
89	levels	zh-CN	mon14	怪物14
90	levels	zh-CN	mon15	怪物15
91	levels	zh-CN	mon16	怪物16
92	levels	zh-CN	mon17	怪物17
93	levels	zh-CN	mon18	怪物18
94	levels	zh-CN	mon19	怪物19
95	levels	zh-CN	mon20	怪物20
96	levels	zh-CN	mon21	怪物21
97	levels	zh-CN	mon22	怪物22
98	levels	zh-CN	mon23	怪物23
99	levels	zh-CN	mon24	怪物24
100	levels	zh-CN	mon25	怪物25
101	levels	zh-CN	rangedspawn	远程生成
102	levels	zh-CN	nmon1	普通怪物1
103	levels	zh-CN	nmon2	普通怪物2
104	levels	zh-CN	nmon3	普通怪物3
105	levels	zh-CN	nmon4	普通怪物4
106	levels	zh-CN	nmon5	普通怪物5
107	levels	zh-CN	nmon6	普通怪物6
108	levels	zh-CN	nmon7	普通怪物7
109	levels	zh-CN	nmon8	普通怪物8
110	levels	zh-CN	nmon9	普通怪物9
111	levels	zh-CN	nmon10	普通怪物10
112	levels	zh-CN	nmon11	普通怪物11
113	levels	zh-CN	nmon12	普通怪物12
114	levels	zh-CN	nmon13	普通怪物13
115	levels	zh-CN	nmon14	普通怪物14
116	levels	zh-CN	nmon15	普通怪物15
117	levels	zh-CN	nmon16	普通怪物16
118	levels	zh-CN	nmon17	普通怪物17
119	levels	zh-CN	nmon18	普通怪物18
120	levels	zh-CN	nmon19	普通怪物19
121	levels	zh-CN	nmon20	普通怪物20
122	levels	zh-CN	nmon21	普通怪物21
123	levels	zh-CN	nmon22	普通怪物22
124	levels	zh-CN	nmon23	普通怪物23
125	levels	zh-CN	nmon24	普通怪物24
126	levels	zh-CN	nmon25	普通怪物25
127	levels	zh-CN	umon1	独特怪物1
128	levels	zh-CN	umon2	独特怪物2
129	levels	zh-CN	umon3	独特怪物3
130	levels	zh-CN	umon4	独特怪物4
131	levels	zh-CN	umon5	独特怪物5
132	levels	zh-CN	umon6	独特怪物6
133	levels	zh-CN	umon7	独特怪物7
134	levels	zh-CN	umon8	独特怪物8
135	levels	zh-CN	umon9	独特怪物9
136	levels	zh-CN	umon10	独特怪物10
137	levels	zh-CN	umon11	独特怪物11
138	levels	zh-CN	umon12	独特怪物12
139	levels	zh-CN	umon13	独特怪物13
140	levels	zh-CN	umon14	独特怪物14
141	levels	zh-CN	umon15	独特怪物15
142	levels	zh-CN	umon16	独特怪物16
143	levels	zh-CN	umon17	独特怪物17
144	levels	zh-CN	umon18	独特怪物18
145	levels	zh-CN	umon19	独特怪物19
146	levels	zh-CN	umon20	独特怪物20
147	levels	zh-CN	umon21	独特怪物21
148	levels	zh-CN	umon22	独特怪物22
149	levels	zh-CN	umon23	独特怪物23
150	levels	zh-CN	umon24	独特怪物24
151	levels	zh-CN	umon25	独特怪物25
152	levels	zh-CN	cmon1	Champ怪物1
153	levels	zh-CN	cmon2	Champ怪物2
154	levels	zh-CN	cmon3	Champ怪物3
155	levels	zh-CN	cmon4	Champ怪物4
156	levels	zh-CN	cpct1	Champ概率1
157	levels	zh-CN	cpct2	Champ概率2
158	levels	zh-CN	cpct3	Champ概率3
159	levels	zh-CN	cpct4	Champ概率4
160	levels	zh-CN	camt1	Champ数量1
161	levels	zh-CN	camt2	Champ数量2
162	levels	zh-CN	camt3	Champ数量3
163	levels	zh-CN	camt4	Champ数量4
164	levels	zh-CN	Themes	主题
165	levels	zh-CN	SoundEnv	环境音效
166	levels	zh-CN	Waypoint	传送点
167	levels	zh-CN	LevelName	等级名称
168	levels	zh-CN	LevelWarp	等级传送
169	levels	zh-CN	LevelEntry	等级入口
170	levels	zh-CN	ObjGrp0	物体组0
171	levels	zh-CN	ObjGrp1	物体组1
172	levels	zh-CN	ObjGrp2	物体组2
173	levels	zh-CN	ObjGrp3	物体组3
174	levels	zh-CN	ObjGrp4	物体组4
175	levels	zh-CN	ObjGrp5	物体组5
176	levels	zh-CN	ObjGrp6	物体组6
177	levels	zh-CN	ObjGrp7	物体组7
178	levels	zh-CN	ObjPrb0	物体概率0
179	levels	zh-CN	ObjPrb1	物体概率1
180	levels	zh-CN	ObjPrb2	物体概率2
181	levels	zh-CN	ObjPrb3	物体概率3
182	levels	zh-CN	ObjPrb4	物体概率4
183	levels	zh-CN	ObjPrb5	物体概率5
184	levels	zh-CN	ObjPrb6	物体概率6
185	levels	zh-CN	ObjPrb7	物体概率7
186	levels	zh-CN	LevelGroup	等级组
187	levels	zh-CN	PreventTownPortal	禁止城镇传送
