序列号	原始表格名	语言	字段	说明
1	lvlprest	zh-CN	Name	名称
2	lvlprest	zh-CN	Def	定义
3	lvlprest	zh-CN	LevelId	等级ID
4	lvlprest	zh-CN	Populate	填充
5	lvlprest	zh-CN	Logicals	逻辑
6	lvlprest	zh-CN	Outdoors	室外
7	lvlprest	zh-CN	Animate	动画
8	lvlprest	zh-CN	KillEdge	杀边
9	lvlprest	zh-CN	FillBlanks	填充空白
10	lvlprest	zh-CN	SizeX	X尺寸
11	lvlprest	zh-CN	SizeY	Y尺寸
12	lvlprest	zh-CN	AutoMap	自动地图
13	lvlprest	zh-CN	Scan	扫描
14	lvlprest	zh-CN	Pops	生成
15	lvlprest	zh-CN	PopPad	生成填充
16	lvlprest	zh-CN	Files	文件
17	lvlprest	zh-CN	File1	文件1
18	lvlprest	zh-CN	File2	文件2
19	lvlprest	zh-CN	File3	文件3
20	lvlprest	zh-CN	File4	文件4
21	lvlprest	zh-CN	File5	文件5
22	lvlprest	zh-CN	File6	文件6
23	lvlprest	zh-CN	Dt1Mask	Dt1掩码
