序列号	原始表格名	语言	字段	说明
1	lvlsub	zh-CN	Name	子关卡名称
2	lvlsub	zh-CN	Type	类型
3	lvlsub	zh-CN	File	文件
4	lvlsub	zh-CN	CheckAll	检查全部
5	lvlsub	zh-CN	BordType	边界类型
6	lvlsub	zh-CN	GridSize	网格大小
7	lvlsub	zh-CN	Dt1Mask	Dt1掩码
8	lvlsub	zh-CN	Prob0	概率0
9	lvlsub	zh-CN	Trials0	尝试0
10	lvlsub	zh-CN	Max0	最大0
11	lvlsub	zh-CN	Prob1	概率1
12	lvlsub	zh-CN	Trials1	尝试1
13	lvlsub	zh-CN	Max1	最大1
14	lvlsub	zh-CN	Prob2	概率2
15	lvlsub	zh-CN	Trials2	尝试2
16	lvlsub	zh-CN	Max2	最大2
17	lvlsub	zh-CN	Prob3	概率3
18	lvlsub	zh-CN	Trials3	尝试3
19	lvlsub	zh-CN	Max3	最大3
20	lvlsub	zh-CN	Prob4	概率4
21	lvlsub	zh-CN	Trials4	尝试4
22	lvlsub	zh-CN	Max4	最大4
