序列号	原始表格名	语言	字段	说明
1	lvltypes	zh-CN	Name	类型名称
2	lvltypes	zh-CN	Id	编号
3	lvltypes	zh-CN	File 1	文件1
4	lvltypes	zh-CN	File 2	文件2
5	lvltypes	zh-CN	File 3	文件3
6	lvltypes	zh-CN	File 4	文件4
7	lvltypes	zh-CN	File 5	文件5
8	lvltypes	zh-CN	File 6	文件6
9	lvltypes	zh-CN	File 7	文件7
10	lvltypes	zh-CN	File 8	文件8
11	lvltypes	zh-CN	File 9	文件9
12	lvltypes	zh-CN	File 10	文件10
13	lvltypes	zh-CN	File 11	文件11
14	lvltypes	zh-CN	File 12	文件12
15	lvltypes	zh-CN	File 13	文件13
16	lvltypes	zh-CN	File 14	文件14
17	lvltypes	zh-CN	File 15	文件15
18	lvltypes	zh-CN	File 16	文件16
19	lvltypes	zh-CN	File 17	文件17
20	lvltypes	zh-CN	File 18	文件18
21	lvltypes	zh-CN	File 19	文件19
22	lvltypes	zh-CN	File 20	文件20
23	lvltypes	zh-CN	File 21	文件21
24	lvltypes	zh-CN	File 22	文件22
25	lvltypes	zh-CN	File 23	文件23
26	lvltypes	zh-CN	File 24	文件24
27	lvltypes	zh-CN	File 25	文件25
28	lvltypes	zh-CN	File 26	文件26
29	lvltypes	zh-CN	File 27	文件27
30	lvltypes	zh-CN	File 28	文件28
31	lvltypes	zh-CN	File 29	文件29
32	lvltypes	zh-CN	File 30	文件30
33	lvltypes	zh-CN	File 31	文件31
34	lvltypes	zh-CN	File 32	文件32
35	lvltypes	zh-CN	Act	章节
