序列号	原始表格名	语言	字段	说明
1	magicprefix	zh-CN	Name	前缀名称
2	magicprefix	zh-CN	version	版本
3	magicprefix	zh-CN	spawnable	可生成
4	magicprefix	zh-CN	rare	稀有
5	magicprefix	zh-CN	level	等级
6	magicprefix	zh-CN	maxlevel	最大等级
7	magicprefix	zh-CN	levelreq	等级需求
8	magicprefix	zh-CN	classspecific	职业专属
9	magicprefix	zh-CN	class	职业
10	magicprefix	zh-CN	classlevelreq	职业等级需求
11	magicprefix	zh-CN	frequency	频率
12	magicprefix	zh-CN	group	组
13	magicprefix	zh-CN	mod1code	词缀1代码
14	magicprefix	zh-CN	mod1param	词缀1参数
15	magicprefix	zh-CN	mod1min	词缀1最小
16	magicprefix	zh-CN	mod1max	词缀1最大
17	magicprefix	zh-CN	mod2code	词缀2代码
18	magicprefix	zh-CN	mod2param	词缀2参数
19	magicprefix	zh-CN	mod2min	词缀2最小
20	magicprefix	zh-CN	mod2max	词缀2最大
21	magicprefix	zh-CN	mod3code	词缀3代码
22	magicprefix	zh-CN	mod3param	词缀3参数
23	magicprefix	zh-CN	mod3min	词缀3最小
24	magicprefix	zh-CN	mod3max	词缀3最大
25	magicprefix	zh-CN	transformcolor	变形颜色
26	magicprefix	zh-CN	itype1	物品类型1
27	magicprefix	zh-CN	itype2	物品类型2
28	magicprefix	zh-CN	itype3	物品类型3
29	magicprefix	zh-CN	itype4	物品类型4
30	magicprefix	zh-CN	itype5	物品类型5
31	magicprefix	zh-CN	itype6	物品类型6
32	magicprefix	zh-CN	itype7	物品类型7
33	magicprefix	zh-CN	etype1	装备类型1
34	magicprefix	zh-CN	etype2	装备类型2
35	magicprefix	zh-CN	etype3	装备类型3
36	magicprefix	zh-CN	etype4	装备类型4
37	magicprefix	zh-CN	etype5	装备类型5
38	magicprefix	zh-CN	multiply	乘法系数
39	magicprefix	zh-CN	add	加法系数
