序列号	原始表格名	语言	字段	说明
1	misc	zh-CN	name	物品名称
2	misc	zh-CN	compactsave	压缩保存
3	misc	zh-CN	version	版本
4	misc	zh-CN	level	物品等级
5	misc	zh-CN	ShowLevel	显示等级
6	misc	zh-CN	levelreq	等级需求
7	misc	zh-CN	reqstr	力量需求
8	misc	zh-CN	reqdex	敏捷需求
9	misc	zh-CN	rarity	稀有度
10	misc	zh-CN	spawnable	可生成
11	misc	zh-CN	DropConditionCalc	掉落条件计算
12	misc	zh-CN	speed	速度
13	misc	zh-CN	nodurability	无耐久度
14	misc	zh-CN	cost	售价
15	misc	zh-CN	gamble cost	赌博成本
16	misc	zh-CN	code	物品代码
17	misc	zh-CN	alternategfx	替代图形
18	misc	zh-CN	namestr	名称字符串
19	misc	zh-CN	component	组件
20	misc	zh-CN	invwidth	背包宽度
21	misc	zh-CN	invheight	背包高度
22	misc	zh-CN	hasinv	有背包
23	misc	zh-CN	gemsockets	宝石插槽
24	misc	zh-CN	gemapplytype	宝石应用类型
25	misc	zh-CN	flippyfile	翻转动画文件
26	misc	zh-CN	invfile	背包图形文件
27	misc	zh-CN	uniqueinvfile	暗金背包图形
28	misc	zh-CN	Transmogrify	可转化
29	misc	zh-CN	TMogType	外观类型
30	misc	zh-CN	TMogMin	外观最小等级
31	misc	zh-CN	TMogMax	外观最大等级
32	misc	zh-CN	useable	可使用
33	misc	zh-CN	type	物品类型
34	misc	zh-CN	type2	物品类型2
35	misc	zh-CN	dropsound	掉落音效
36	misc	zh-CN	dropsfxframe	掉落特效帧
37	misc	zh-CN	usesound	使用音效
38	misc	zh-CN	unique	暗金物品
39	misc	zh-CN	transparent	透明
40	misc	zh-CN	transtbl	透明表
41	misc	zh-CN	lightradius	光源半径
42	misc	zh-CN	belt	腰带
43	misc	zh-CN	autobelt	自动腰带
44	misc	zh-CN	stackable	可堆叠
45	misc	zh-CN	minstack	最小堆叠
46	misc	zh-CN	maxstack	最大堆叠
47	misc	zh-CN	spawnstack	生成堆叠
48	misc	zh-CN	quest	任务物品
49	misc	zh-CN	questdiffcheck	任务难度检查
50	misc	zh-CN	missiletype	投射物类型
51	misc	zh-CN	spellicon	技能图标
52	misc	zh-CN	pSpell	技能
53	misc	zh-CN	state	状态
54	misc	zh-CN	cstate1	条件状态1
55	misc	zh-CN	cstate2	条件状态2
56	misc	zh-CN	len	持续时间
57	misc	zh-CN	stat1	属性1
58	misc	zh-CN	calc1	计算1
59	misc	zh-CN	stat2	属性2
60	misc	zh-CN	calc2	计算2
61	misc	zh-CN	stat3	属性3
62	misc	zh-CN	calc3	计算3
63	misc	zh-CN	spelldesc	技能描述
64	misc	zh-CN	spelldescstr	技能描述字符串
65	misc	zh-CN	spelldescstr2	技能描述字符串2
66	misc	zh-CN	spelldesccalc	技能描述计算
67	misc	zh-CN	spelldesccolor	技能描述颜色
68	misc	zh-CN	durwarning	耐久警告
69	misc	zh-CN	qntwarning	数量警告
70	misc	zh-CN	gemoffset	宝石偏移
71	misc	zh-CN	BetterGem	更好的宝石
72	misc	zh-CN	bitfield1	位域1
73	misc	zh-CN	CharsiMin	恰西最小值
74	misc	zh-CN	CharsiMax	恰西最大值
75	misc	zh-CN	CharsiMagicMin	恰西魔法最小
76	misc	zh-CN	CharsiMagicMax	恰西魔法最大
77	misc	zh-CN	CharsiMagicLvl	恰西魔法等级
78	misc	zh-CN	GheedMin	基德最小值
79	misc	zh-CN	GheedMax	基德最大值
80	misc	zh-CN	GheedMagicMin	基德魔法最小
81	misc	zh-CN	GheedMagicMax	基德魔法最大
82	misc	zh-CN	GheedMagicLvl	基德魔法等级
83	misc	zh-CN	AkaraMin	阿卡拉最小值
84	misc	zh-CN	AkaraMax	阿卡拉最大值
85	misc	zh-CN	AkaraMagicMin	阿卡拉魔法最小
86	misc	zh-CN	AkaraMagicMax	阿卡拉魔法最大
87	misc	zh-CN	AkaraMagicLvl	阿卡拉魔法等级
88	misc	zh-CN	FaraMin	法拉最小值
89	misc	zh-CN	FaraMax	法拉最大值
90	misc	zh-CN	FaraMagicMin	法拉魔法最小
91	misc	zh-CN	FaraMagicMax	法拉魔法最大
92	misc	zh-CN	FaraMagicLvl	法拉魔法等级
93	misc	zh-CN	LysanderMin	莱安德最小值
94	misc	zh-CN	LysanderMax	莱安德最大值
95	misc	zh-CN	LysanderMagicMin	莱安德魔法最小
96	misc	zh-CN	LysanderMagicMax	莱安德魔法最大
97	misc	zh-CN	LysanderMagicLvl	莱安德魔法等级
98	misc	zh-CN	DrognanMin	德罗安最小值
99	misc	zh-CN	DrognanMax	德罗安最大值
100	misc	zh-CN	DrognanMagicMin	德罗安魔法最小
101	misc	zh-CN	DrognanMagicMax	德罗安魔法最大
102	misc	zh-CN	DrognanMagicLvl	德罗安魔法等级
103	misc	zh-CN	HratliMin	哈特里最小值
104	misc	zh-CN	HratliMax	哈特里最大值
105	misc	zh-CN	HratliMagicMin	哈特里魔法最小
106	misc	zh-CN	HratliMagicMax	哈特里魔法最大
