序列号	原始表格名	语言	字段	说明
1	missiles	zh-CN	Missile	投射物名称
2	missiles	zh-CN	*ID	编号
3	missiles	zh-CN	pCltDoFunc	客户端执行函数
4	missiles	zh-CN	pCltHitFunc	客户端命中函数
5	missiles	zh-CN	pSrvDoFunc	服务端执行函数
6	missiles	zh-CN	pSrvHitFunc	服务端命中函数
7	missiles	zh-CN	pSrvDmgFunc	服务端伤害函数
8	missiles	zh-CN	SrvCalc1	服务端计算1
9	missiles	zh-CN	*srv calc 1 desc	服务端计算1描述
10	missiles	zh-CN	Param1	参数1
11	missiles	zh-CN	*param1 desc	参数1描述
12	missiles	zh-CN	Param2	参数2
13	missiles	zh-CN	*param2 desc	参数2描述
14	missiles	zh-CN	Param3	参数3
15	missiles	zh-CN	*param3 desc	参数3描述
16	missiles	zh-CN	Param4	参数4
17	missiles	zh-CN	*param4 desc	参数4描述
18	missiles	zh-CN	Param5	参数5
19	missiles	zh-CN	*param5 desc	参数5描述
20	missiles	zh-CN	CltCalc1	客户端计算1
21	missiles	zh-CN	*client calc 1 desc	客户端计算1描述
22	missiles	zh-CN	CltParam1	客户端参数1
23	missiles	zh-CN	*client param1 desc	客户端参数1描述
24	missiles	zh-CN	CltParam2	客户端参数2
25	missiles	zh-CN	*client param2 desc	客户端参数2描述
26	missiles	zh-CN	CltParam3	客户端参数3
27	missiles	zh-CN	*client param3 desc	客户端参数3描述
28	missiles	zh-CN	CltParam4	客户端参数4
29	missiles	zh-CN	*client param4 desc	客户端参数4描述
30	missiles	zh-CN	CltParam5	客户端参数5
31	missiles	zh-CN	*client param5 desc	客户端参数5描述
32	missiles	zh-CN	SHitCalc1	服务端命中计算1
33	missiles	zh-CN	*server hit calc 1 desc	服务端命中计算1描述
34	missiles	zh-CN	sHitPar1	服务端命中参数1
35	missiles	zh-CN	*server hit param1 desc	服务端命中参数1描述
36	missiles	zh-CN	sHitPar2	服务端命中参数2
37	missiles	zh-CN	*server hit param2 desc	服务端命中参数2描述
38	missiles	zh-CN	sHitPar3	服务端命中参数3
39	missiles	zh-CN	*server hit param3 desc	服务端命中参数3描述
40	missiles	zh-CN	CHitCalc1	客户端命中计算1
41	missiles	zh-CN	*client hit calc1 desc	客户端命中计算1描述
42	missiles	zh-CN	cHitPar1	客户端命中参数1
43	missiles	zh-CN	*client hit param1 desc	客户端命中参数1描述
44	missiles	zh-CN	cHitPar2	客户端命中参数2
45	missiles	zh-CN	*client hit param2 desc	客户端命中参数2描述
46	missiles	zh-CN	cHitPar3	客户端命中参数3
47	missiles	zh-CN	*client hit param3 desc	客户端命中参数3描述
48	missiles	zh-CN	DmgCalc1	伤害计算1
49	missiles	zh-CN	*damage calc 1	伤害计算1描述
50	missiles	zh-CN	dParam1	伤害参数1
51	missiles	zh-CN	*damage param1 desc	伤害参数1描述
52	missiles	zh-CN	dParam2	伤害参数2
53	missiles	zh-CN	*damage param2 desc	伤害参数2描述
54	missiles	zh-CN	Vel	速度
55	missiles	zh-CN	MaxVel	最大速度
56	missiles	zh-CN	VelLev	速度等级
57	missiles	zh-CN	Accel	加速度
58	missiles	zh-CN	Range	射程
59	missiles	zh-CN	Radius	半径
60	missiles	zh-CN	Light	光源
61	missiles	zh-CN	Flicker	闪烁
62	missiles	zh-CN	Red	红色
63	missiles	zh-CN	Green	绿色
