序列号	原始表格名	语言	字段	说明
1	monlvl	zh-CN	Level	等级
2	monlvl	zh-CN	AC	防御
3	monlvl	zh-CN	AC(N)	防御噩梦
4	monlvl	zh-CN	AC(H)	防御地狱
5	monlvl	zh-CN	L-AC	防御等级加成
6	monlvl	zh-CN	L-AC(N)	防御等级加成噩梦
7	monlvl	zh-CN	L-AC(H)	防御等级加成地狱
8	monlvl	zh-CN	TH	命中
9	monlvl	zh-CN	TH(N)	命中噩梦
10	monlvl	zh-CN	TH(H)	命中地狱
11	monlvl	zh-CN	L-TH	命中等级加成
12	monlvl	zh-CN	L-TH(N)	命中等级加成噩梦
13	monlvl	zh-CN	L-TH(H)	命中等级加成地狱
14	monlvl	zh-CN	HP	生命
15	monlvl	zh-CN	HP(N)	生命噩梦
16	monlvl	zh-CN	HP(H)	生命地狱
17	monlvl	zh-CN	L-HP	生命等级加成
18	monlvl	zh-CN	L-HP(N)	生命等级加成噩梦
19	monlvl	zh-CN	L-HP(H)	生命等级加成地狱
20	monlvl	zh-CN	DM	伤害
21	monlvl	zh-CN	DM(N)	伤害噩梦
22	monlvl	zh-CN	DM(H)	伤害地狱
23	monlvl	zh-CN	L-DM	伤害等级加成
24	monlvl	zh-CN	L-DM(N)	伤害等级加成噩梦
25	monlvl	zh-CN	L-DM(H)	伤害等级加成地狱
26	monlvl	zh-CN	XP	经验
27	monlvl	zh-CN	XP(N)	经验噩梦
28	monlvl	zh-CN	XP(H)	经验地狱
29	monlvl	zh-CN	L-XP	经验等级加成
30	monlvl	zh-CN	L-XP(N)	经验等级加成噩梦
31	monlvl	zh-CN	L-XP(H)	经验等级加成地狱
