序列号	原始表格名	语言	字段	说明
1	monpet	zh-CN	monster	怪物
2	monpet	zh-CN	*index	索引
3	monpet	zh-CN	hirelingAlternateVoice	雇佣兵备选声音
4	monpet	zh-CN	consumestat1	消耗属性1
5	monpet	zh-CN	consumepar1	消耗参数1
6	monpet	zh-CN	consumecalc1	消耗计算1
7	monpet	zh-CN	consumestat2	消耗属性2
8	monpet	zh-CN	consumepar2	消耗参数2
9	monpet	zh-CN	consumecalc2	消耗计算2
10	monpet	zh-CN	consumestat3	消耗属性3
11	monpet	zh-CN	consumepar3	消耗参数3
12	monpet	zh-CN	consumecalc3	消耗计算3
13	monpet	zh-CN	consumestat4	消耗属性4
14	monpet	zh-CN	consumepar4	消耗参数4
15	monpet	zh-CN	consumecalc4	消耗计算4
16	monpet	zh-CN	consumestat5	消耗属性5
17	monpet	zh-CN	consumepar5	消耗参数5
18	monpet	zh-CN	consumecalc5	消耗计算5
19	monpet	zh-CN	numunderlingcalc	下属数量计算
20	monpet	zh-CN	bindchancecalc	绑定概率计算
