序列号	原始表格名	语言	字段	说明
1	monsounds	zh-CN	Id	编号
2	monsounds	zh-CN	Attack1	攻击1
3	monsounds	zh-CN	Weapon1	武器1
4	monsounds	zh-CN	Att1Del	攻击1延迟
5	monsounds	zh-CN	Wea1Del	武器1延迟
6	monsounds	zh-CN	Att1Prb	攻击1概率
7	monsounds	zh-CN	Wea1Vol	武器1音量
8	monsounds	zh-CN	Attack2	攻击2
9	monsounds	zh-CN	Weapon2	武器2
10	monsounds	zh-CN	Att2Del	攻击2延迟
11	monsounds	zh-CN	Wea2Del	武器2延迟
12	monsounds	zh-CN	Att2Prb	攻击2概率
13	monsounds	zh-CN	Wea2Vol	武器2音量
14	monsounds	zh-CN	HitSound	命中音效
15	monsounds	zh-CN	DeathSound	死亡音效
16	monsounds	zh-CN	HitDelay	命中延迟
17	monsounds	zh-CN	DeaDelay	死亡延迟
18	monsounds	zh-CN	Skill1	技能1
19	monsounds	zh-CN	Skill2	技能2
20	monsounds	zh-CN	Skill3	技能3
21	monsounds	zh-CN	Skill4	技能4
22	monsounds	zh-CN	Footstep	脚步声
23	monsounds	zh-CN	FootstepLayer	脚步声层
24	monsounds	zh-CN	FsCnt	脚步数量
25	monsounds	zh-CN	FsOff	脚步偏移
26	monsounds	zh-CN	FsPrb	脚步概率
27	monsounds	zh-CN	Neutral	待机
28	monsounds	zh-CN	NeuTime	待机时间
29	monsounds	zh-CN	Init	初始化
30	monsounds	zh-CN	Taunt	嘲讽
31	monsounds	zh-CN	Flee	逃跑
32	monsounds	zh-CN	CvtMo1	转换模式1
33	monsounds	zh-CN	CvtSk1	转换技能1
34	monsounds	zh-CN	CvtTgt1	转换目标1
35	monsounds	zh-CN	CvtMo2	转换模式2
36	monsounds	zh-CN	CvtSk2	转换技能2
37	monsounds	zh-CN	CvtTgt2	转换目标2
38	monsounds	zh-CN	CvtMo3	转换模式3
39	monsounds	zh-CN	CvtSk3	转换技能3
40	monsounds	zh-CN	CvtTgt3	转换目标3
41	monsounds	zh-CN	EOL	行结束
