序列号	原始表格名	语言	字段	说明
1	monstats	zh-CN	Id	怪物ID
2	monstats	zh-CN	*hcIdx	HC索引
3	monstats	zh-CN	BaseId	基础ID
4	monstats	zh-CN	NextInClass	下一类别
5	monstats	zh-CN	TransLvl	变形等级
6	monstats	zh-CN	NameStr	名称字符串
7	monstats	zh-CN	MonStatsEx	怪物属性扩展
8	monstats	zh-CN	MonProp	怪物属性
9	monstats	zh-CN	MonType	怪物类型
10	monstats	zh-CN	AI	AI
11	monstats	zh-CN	DescStr	描述字符串
12	monstats	zh-CN	Code	代码
13	monstats	zh-CN	enabled	启用
14	monstats	zh-CN	rangedtype	远程类型
15	monstats	zh-CN	placespawn	放置生成
16	monstats	zh-CN	spawn	生成
17	monstats	zh-CN	spawnx	生成X
18	monstats	zh-CN	spawny	生成Y
19	monstats	zh-CN	spawnmode	生成模式
20	monstats	zh-CN	minion1	仆从1
21	monstats	zh-CN	minion2	仆从2
22	monstats	zh-CN	SetBoss	Boss设定
23	monstats	zh-CN	BossXfer	Boss转移
24	monstats	zh-CN	PartyMin	队伍最小
25	monstats	zh-CN	PartyMax	队伍最大
26	monstats	zh-CN	MinGrp	最小组
27	monstats	zh-CN	MaxGrp	最大组
28	monstats	zh-CN	sparsePopulate	稀疏生成
29	monstats	zh-CN	Velocity	速度
30	monstats	zh-CN	Run	奔跑
31	monstats	zh-CN	Rarity	稀有度
32	monstats	zh-CN	Level	等级
33	monstats	zh-CN	Level(N)	等级噩梦
34	monstats	zh-CN	Level(H)	等级地狱
35	monstats	zh-CN	MonSound	怪物音效
36	monstats	zh-CN	UMonSound	独特怪物音效
37	monstats	zh-CN	threat	威胁
38	monstats	zh-CN	aidel	AI延迟
39	monstats	zh-CN	aidel(N)	AI延迟噩梦
40	monstats	zh-CN	aidel(H)	AI延迟地狱
41	monstats	zh-CN	aidist	AI距离
42	monstats	zh-CN	aidist(N)	AI距离噩梦
43	monstats	zh-CN	aidist(H)	AI距离地狱
44	monstats	zh-CN	aip1	AI参数1
45	monstats	zh-CN	aip1(N)	AI参数1噩梦
46	monstats	zh-CN	aip1(H)	AI参数1地狱
47	monstats	zh-CN	aip2	AI参数2
48	monstats	zh-CN	aip2(N)	AI参数2噩梦
49	monstats	zh-CN	aip2(H)	AI参数2地狱
50	monstats	zh-CN	aip3	AI参数3
51	monstats	zh-CN	aip3(N)	AI参数3噩梦
52	monstats	zh-CN	aip3(H)	AI参数3地狱
53	monstats	zh-CN	aip4	AI参数4
54	monstats	zh-CN	aip4(N)	AI参数4噩梦
55	monstats	zh-CN	aip4(H)	AI参数4地狱
56	monstats	zh-CN	aip5	AI参数5
57	monstats	zh-CN	aip5(N)	AI参数5噩梦
58	monstats	zh-CN	aip5(H)	AI参数5地狱
59	monstats	zh-CN	aip6	AI参数6
60	monstats	zh-CN	aip6(N)	AI参数6噩梦
61	monstats	zh-CN	aip6(H)	AI参数6地狱
62	monstats	zh-CN	aip7	AI参数7
63	monstats	zh-CN	aip7(N)	AI参数7噩梦
64	monstats	zh-CN	aip7(H)	AI参数7地狱
65	monstats	zh-CN	aip8	AI参数8
66	monstats	zh-CN	aip8(N)	AI参数8噩梦
67	monstats	zh-CN	aip8(H)	AI参数8地狱
68	monstats	zh-CN	MissA1	攻击1miss
69	monstats	zh-CN	MissA2	攻击2miss
70	monstats	zh-CN	MissS1	技能1miss
71	monstats	zh-CN	MissS2	技能2miss
72	monstats	zh-CN	MissS3	技能3miss
73	monstats	zh-CN	MissS4	技能4miss
