序列号	原始表格名	语言	字段	说明
1	monstats2	zh-CN	Id	怪物ID
2	monstats2	zh-CN	*hcIdx	HC索引
3	monstats2	zh-CN	Height	高度
4	monstats2	zh-CN	OverlayHeight	覆盖高度
5	monstats2	zh-CN	pixHeight	像素高度
6	monstats2	zh-CN	SizeX	X尺寸
7	monstats2	zh-CN	SizeY	Y尺寸
8	monstats2	zh-CN	spawnCol	生成碰撞
9	monstats2	zh-CN	MeleeRng	近战范围
10	monstats2	zh-CN	BaseW	基础武器
11	monstats2	zh-CN	HitClass	打击类别
12	monstats2	zh-CN	HDv	头朝上动画
13	monstats2	zh-CN	TRv	躯干动画
14	monstats2	zh-CN	LGv	左腿动画
15	monstats2	zh-CN	Rav	右臂动画
16	monstats2	zh-CN	Lav	左臂动画
17	monstats2	zh-CN	RHv	右手动画
18	monstats2	zh-CN	LHv	左手动画
19	monstats2	zh-CN	SHv	盾动画
20	monstats2	zh-CN	S1v	技能1动画
21	monstats2	zh-CN	S2v	技能2动画
22	monstats2	zh-CN	S3v	技能3动画
23	monstats2	zh-CN	S4v	技能4动画
24	monstats2	zh-CN	S5v	技能5动画
25	monstats2	zh-CN	S6v	技能6动画
26	monstats2	zh-CN	S7v	技能7动画
27	monstats2	zh-CN	S8v	技能8动画
28	monstats2	zh-CN	HD	头
29	monstats2	zh-CN	TR	躯干
30	monstats2	zh-CN	LG	左腿
31	monstats2	zh-CN	RA	右腿
32	monstats2	zh-CN	LA	左臂
33	monstats2	zh-CN	RH	右手
34	monstats2	zh-CN	LH	左手
35	monstats2	zh-CN	SH	盾牌
36	monstats2	zh-CN	S1	技能1
37	monstats2	zh-CN	S2	技能2
38	monstats2	zh-CN	S3	技能3
39	monstats2	zh-CN	S4	技能4
40	monstats2	zh-CN	S5	技能5
41	monstats2	zh-CN	S6	技能6
42	monstats2	zh-CN	S7	技能7
43	monstats2	zh-CN	S8	技能8
44	monstats2	zh-CN	TotalPieces	总部件
45	monstats2	zh-CN	mDT	死亡动画
46	monstats2	zh-CN	mNU	待机动画
47	monstats2	zh-CN	mWL	行走动画
48	monstats2	zh-CN	mGH	击倒动画
49	monstats2	zh-CN	mA1	攻击1动画
50	monstats2	zh-CN	mA2	攻击2动画
51	monstats2	zh-CN	mBL	格挡动画
52	monstats2	zh-CN	mSC	施法动画
53	monstats2	zh-CN	mS1	技能1动画
54	monstats2	zh-CN	mS2	技能2动画
55	monstats2	zh-CN	mS3	技能3动画
56	monstats2	zh-CN	mS4	技能4动画
57	monstats2	zh-CN	mDD	受击动画
58	monstats2	zh-CN	mKB	击退动画
59	monstats2	zh-CN	mSQ	序列动画
60	monstats2	zh-CN	mRN	奔跑动画
61	monstats2	zh-CN	dDT	死亡延迟
62	monstats2	zh-CN	dNU	待机延迟
63	monstats2	zh-CN	dWL	行走延迟
64	monstats2	zh-CN	dGH	击倒延迟
65	monstats2	zh-CN	dA1	攻击1延迟
66	monstats2	zh-CN	dA2	攻击2延迟
67	monstats2	zh-CN	dBL	格挡延迟
68	monstats2	zh-CN	dSC	施法延迟
69	monstats2	zh-CN	dS1	技能1延迟
70	monstats2	zh-CN	dS2	技能2延迟
71	monstats2	zh-CN	dS3	技能3延迟
72	monstats2	zh-CN	dS4	技能4延迟
73	monstats2	zh-CN	dDD	受击延迟
74	monstats2	zh-CN	dKB	击退延迟
