序列号	原始表格名	语言	字段	说明
1	objects	zh-CN	Class	类别
2	objects	zh-CN	Name	名称
3	objects	zh-CN	*Description	描述
4	objects	zh-CN	*ID	编号
5	objects	zh-CN	Token	代号
6	objects	zh-CN	Selectable0	可选0
7	objects	zh-CN	Selectable1	可选1
8	objects	zh-CN	Selectable2	可选2
9	objects	zh-CN	Selectable3	可选3
10	objects	zh-CN	Selectable4	可选4
11	objects	zh-CN	Selectable5	可选5
12	objects	zh-CN	Selectable6	可选6
13	objects	zh-CN	Selectable7	可选7
14	objects	zh-CN	SizeX	X尺寸
15	objects	zh-CN	SizeY	Y尺寸
16	objects	zh-CN	FrameCnt0	帧数0
17	objects	zh-CN	FrameCnt1	帧数1
18	objects	zh-CN	FrameCnt2	帧数2
19	objects	zh-CN	FrameCnt3	帧数3
20	objects	zh-CN	FrameCnt4	帧数4
21	objects	zh-CN	FrameCnt5	帧数5
22	objects	zh-CN	FrameCnt6	帧数6
23	objects	zh-CN	FrameCnt7	帧数7
24	objects	zh-CN	FrameDelta0	帧增量0
25	objects	zh-CN	FrameDelta1	帧增量1
26	objects	zh-CN	FrameDelta2	帧增量2
27	objects	zh-CN	FrameDelta3	帧增量3
28	objects	zh-CN	FrameDelta4	帧增量4
29	objects	zh-CN	FrameDelta5	帧增量5
30	objects	zh-CN	FrameDelta6	帧增量6
31	objects	zh-CN	FrameDelta7	帧增量7
32	objects	zh-CN	CycleAnim0	循环动画0
33	objects	zh-CN	CycleAnim1	循环动画1
34	objects	zh-CN	CycleAnim2	循环动画2
35	objects	zh-CN	CycleAnim3	循环动画3
36	objects	zh-CN	CycleAnim4	循环动画4
37	objects	zh-CN	CycleAnim5	循环动画5
38	objects	zh-CN	CycleAnim6	循环动画6
39	objects	zh-CN	CycleAnim7	循环动画7
40	objects	zh-CN	Lit0	光照0
41	objects	zh-CN	Lit1	光照1
42	objects	zh-CN	Lit2	光照2
43	objects	zh-CN	Lit3	光照3
44	objects	zh-CN	Lit4	光照4
45	objects	zh-CN	Lit5	光照5
46	objects	zh-CN	Lit6	光照6
47	objects	zh-CN	Lit7	光照7
48	objects	zh-CN	BlocksLight0	阻挡光0
49	objects	zh-CN	BlocksLight1	阻挡光1
50	objects	zh-CN	BlocksLight2	阻挡光2
51	objects	zh-CN	BlocksLight3	阻挡光3
52	objects	zh-CN	BlocksLight4	阻挡光4
53	objects	zh-CN	BlocksLight5	阻挡光5
54	objects	zh-CN	BlocksLight6	阻挡光6
55	objects	zh-CN	BlocksLight7	阻挡光7
56	objects	zh-CN	HasCollision0	有碰撞0
57	objects	zh-CN	HasCollision1	有碰撞1
58	objects	zh-CN	HasCollision2	有碰撞2
59	objects	zh-CN	HasCollision3	有碰撞3
60	objects	zh-CN	HasCollision4	有碰撞4
61	objects	zh-CN	HasCollision5	有碰撞5
62	objects	zh-CN	HasCollision6	有碰撞6
63	objects	zh-CN	HasCollision7	有碰撞7
64	objects	zh-CN	IsAttackable0	可攻击0
65	objects	zh-CN	Start0	起始0
66	objects	zh-CN	Start1	起始1
67	objects	zh-CN	Start2	起始2
68	objects	zh-CN	Start3	起始3
69	objects	zh-CN	Start4	起始4
70	objects	zh-CN	Start5	起始5
71	objects	zh-CN	Start6	起始6
72	objects	zh-CN	Start7	起始7
73	objects	zh-CN	EnvEffect	环境效果
74	objects	zh-CN	IsDoor	是门
75	objects	zh-CN	BlocksVis	阻挡视线
76	objects	zh-CN	Orientation	方向
77	objects	zh-CN	OrderFlag0	顺序标志0
78	objects	zh-CN	OrderFlag1	顺序标志1
79	objects	zh-CN	OrderFlag2	顺序标志2
80	objects	zh-CN	OrderFlag3	顺序标志3
81	objects	zh-CN	OrderFlag4	顺序标志4
82	objects	zh-CN	OrderFlag5	顺序标志5
83	objects	zh-CN	OrderFlag6	顺序标志6
84	objects	zh-CN	OrderFlag7	顺序标志7
85	objects	zh-CN	PreOperate	预操作
86	objects	zh-CN	Mode0	模式0
87	objects	zh-CN	Mode1	模式1
88	objects	zh-CN	Mode2	模式2
