序列号	原始表格名	语言	字段	说明
1	objgroup	zh-CN	GroupName	组名称
2	objgroup	zh-CN	*ID	组ID
3	objgroup	zh-CN	ID0	物品ID0
4	objgroup	zh-CN	DENSITY0	密度0
5	objgroup	zh-CN	PROB0	概率0
6	objgroup	zh-CN	ID1	物品ID1
7	objgroup	zh-CN	DENSITY1	密度1
8	objgroup	zh-CN	PROB1	概率1
9	objgroup	zh-CN	ID2	物品ID2
10	objgroup	zh-CN	DENSITY2	密度2
11	objgroup	zh-CN	PROB2	概率2
12	objgroup	zh-CN	ID3	物品ID3
13	objgroup	zh-CN	DENSITY3	密度3
14	objgroup	zh-CN	PROB3	概率3
15	objgroup	zh-CN	ID4	物品ID4
16	objgroup	zh-CN	DENSITY4	密度4
17	objgroup	zh-CN	PROB4	概率4
18	objgroup	zh-CN	ID5	物品ID5
19	objgroup	zh-CN	DENSITY5	密度5
20	objgroup	zh-CN	PROB5	概率5
21	objgroup	zh-CN	ID6	物品ID6
22	objgroup	zh-CN	DENSITY6	密度6
23	objgroup	zh-CN	PROB6	概率6
24	objgroup	zh-CN	ID7	物品ID7
25	objgroup	zh-CN	DENSITY7	密度7
26	objgroup	zh-CN	PROB7	概率7
