序列号	原始表格名	语言	字段	说明
1	overlay	zh-CN	overlay	覆盖层ID
2	overlay	zh-CN	*ID	编号
3	overlay	zh-CN	Filename	文件名
4	overlay	zh-CN	version	版本
5	overlay	zh-CN	*Frames	帧数
6	overlay	zh-CN	Character	角色
7	overlay	zh-CN	PreDraw	预绘制
8	overlay	zh-CN	1ofN	组序号
9	overlay	zh-CN	Xoffset	X偏移
10	overlay	zh-CN	Yoffset	Y偏移
11	overlay	zh-CN	Height1	高度1
12	overlay	zh-CN	Height2	高度2
13	overlay	zh-CN	Height3	高度3
14	overlay	zh-CN	Height4	高度4
15	overlay	zh-CN	AnimRate	动画速率
16	overlay	zh-CN	LoopWaitTime	循环等待时间
17	overlay	zh-CN	Trans	透明度
18	overlay	zh-CN	InitRadius	初始半径
19	overlay	zh-CN	Radius	半径
20	overlay	zh-CN	Red	红色
21	overlay	zh-CN	Green	绿色
22	overlay	zh-CN	Blue	蓝色
23	overlay	zh-CN	NumDirections	方向数
24	overlay	zh-CN	LocalBlood	本地血液
25	overlay	zh-CN	WeaponStateFlags	武器状态标志
26	overlay	zh-CN	WeaponStateGroup	武器状态组
27	overlay	zh-CN	StartSound	开始音效
