序列号	原始表格名	语言	字段	说明
1	properties	zh-CN	code	代码
2	properties	zh-CN	*Id	编号
3	properties	zh-CN	*Enabled	启用
4	properties	zh-CN	func1	函数1
5	properties	zh-CN	stat1	属性1
6	properties	zh-CN	set1	设置1
7	properties	zh-CN	val1	值1
8	properties	zh-CN	func2	函数2
9	properties	zh-CN	stat2	属性2
10	properties	zh-CN	set2	设置2
11	properties	zh-CN	val2	值2
12	properties	zh-CN	func3	函数3
13	properties	zh-CN	stat3	属性3
14	properties	zh-CN	set3	设置3
15	properties	zh-CN	val3	值3
16	properties	zh-CN	func4	函数4
17	properties	zh-CN	stat4	属性4
18	properties	zh-CN	set4	设置4
19	properties	zh-CN	val4	值4
20	properties	zh-CN	func5	函数5
21	properties	zh-CN	stat5	属性5
22	properties	zh-CN	set5	设置5
23	properties	zh-CN	val5	值5
24	properties	zh-CN	func6	函数6
25	properties	zh-CN	stat6	属性6
26	properties	zh-CN	set6	设置6
27	properties	zh-CN	val6	值6
28	properties	zh-CN	func7	函数7
29	properties	zh-CN	stat7	属性7
30	properties	zh-CN	set7	设置7
31	properties	zh-CN	val7	值7
32	properties	zh-CN	uiRangeType	UI范围类型
33	properties	zh-CN	*Tooltip	提示
34	properties	zh-CN	*Parameter	参数
35	properties	zh-CN	*Min	最小值
36	properties	zh-CN	*Max	最大值
37	properties	zh-CN	*Notes	备注
38	properties	zh-CN	*eol	行结束标记
