序列号	原始表格名	语言	字段	说明
1	propertygroups	zh-CN	code	代码
2	propertygroups	zh-CN	*Id	编号
3	propertygroups	zh-CN	PickMode	选择模式
4	propertygroups	zh-CN	Prop1	属性1
5	propertygroups	zh-CN	ParMin1	参数最小1
6	propertygroups	zh-CN	ParMax1	参数最大1
7	propertygroups	zh-CN	ModMin1	修正最小1
8	propertygroups	zh-CN	ModMax1	修正最大1
9	propertygroups	zh-CN	Chance1	概率1
10	propertygroups	zh-CN	Prop2	属性2
11	propertygroups	zh-CN	ParMin2	参数最小2
12	propertygroups	zh-CN	ParMax2	参数最大2
13	propertygroups	zh-CN	ModMin2	修正最小2
14	propertygroups	zh-CN	ModMax2	修正最大2
15	propertygroups	zh-CN	Chance2	概率2
16	propertygroups	zh-CN	Prop3	属性3
17	propertygroups	zh-CN	ParMin3	参数最小3
18	propertygroups	zh-CN	ParMax3	参数最大3
19	propertygroups	zh-CN	ModMin3	修正最小3
20	propertygroups	zh-CN	ModMax3	修正最大3
21	propertygroups	zh-CN	Chance3	概率3
22	propertygroups	zh-CN	Prop4	属性4
23	propertygroups	zh-CN	ParMin4	参数最小4
24	propertygroups	zh-CN	ParMax4	参数最大4
25	propertygroups	zh-CN	ModMin4	修正最小4
26	propertygroups	zh-CN	ModMax4	修正最大4
27	propertygroups	zh-CN	Chance4	概率4
28	propertygroups	zh-CN	Prop5	属性5
29	propertygroups	zh-CN	ParMin5	参数最小5
30	propertygroups	zh-CN	ParMax5	参数最大5
31	propertygroups	zh-CN	ModMin5	修正最小5
32	propertygroups	zh-CN	ModMax5	修正最大5
33	propertygroups	zh-CN	Chance5	概率5
34	propertygroups	zh-CN	Prop6	属性6
35	propertygroups	zh-CN	ParMin6	参数最小6
36	propertygroups	zh-CN	ParMax6	参数最大6
37	propertygroups	zh-CN	ModMin6	修正最小6
38	propertygroups	zh-CN	ModMax6	修正最大6
39	propertygroups	zh-CN	Chance6	概率6
40	propertygroups	zh-CN	Prop7	属性7
41	propertygroups	zh-CN	ParMin7	参数最小7
42	propertygroups	zh-CN	ParMax7	参数最大7
43	propertygroups	zh-CN	ModMin7	修正最小7
44	propertygroups	zh-CN	ModMax7	修正最大7
45	propertygroups	zh-CN	Chance7	概率7
46	propertygroups	zh-CN	Prop8	属性8
47	propertygroups	zh-CN	ParMin8	参数最小8
48	propertygroups	zh-CN	ParMax8	参数最大8
49	propertygroups	zh-CN	ModMin8	修正最小8
50	propertygroups	zh-CN	ModMax8	修正最大8
51	propertygroups	zh-CN	Chance8	概率8
52	propertygroups	zh-CN	*Tooltip	提示
53	propertygroups	zh-CN	*Parameter	参数
54	propertygroups	zh-CN	*Min	最小值
55	propertygroups	zh-CN	*Max	最大值
56	propertygroups	zh-CN	*Notes	备注
57	propertygroups	zh-CN	*eol	行结束标记
