序列号	原始表格名	语言	字段	说明
1	qualityitems	zh-CN	mod1code	词缀1代码
2	qualityitems	zh-CN	mod1param	词缀1参数
3	qualityitems	zh-CN	mod1min	词缀1最小
4	qualityitems	zh-CN	mod1max	词缀1最大
5	qualityitems	zh-CN	mod2code	词缀2代码
6	qualityitems	zh-CN	mod2param	词缀2参数
7	qualityitems	zh-CN	mod2min	词缀2最小
8	qualityitems	zh-CN	mod2max	词缀2最大
9	qualityitems	zh-CN	armor	护甲
10	qualityitems	zh-CN	weapon	武器
11	qualityitems	zh-CN	shield	盾牌
12	qualityitems	zh-CN	scepter	权杖
13	qualityitems	zh-CN	wand	法杖
14	qualityitems	zh-CN	staff	长杖
15	qualityitems	zh-CN	bow	弓
16	qualityitems	zh-CN	boots	靴子
17	qualityitems	zh-CN	gloves	手套
18	qualityitems	zh-CN	belt	腰带
