序列号	原始表格名	语言	字段	说明
1	runes	zh-CN	Name	名称
2	runes	zh-CN	*Rune Name	符文名称
3	runes	zh-CN	complete	完成
4	runes	zh-CN	disallowCraftingInLadder	禁止天梯制作
5	runes	zh-CN	disallowCraftingInNonLadder	禁止非天梯制作
6	runes	zh-CN	firstLadderSeason	首次天梯赛季
7	runes	zh-CN	lastLadderSeason	最后天梯赛季
8	runes	zh-CN	*Patch Release	补丁版本
9	runes	zh-CN	itype1	物品类型1
10	runes	zh-CN	itype2	物品类型2
11	runes	zh-CN	itype3	物品类型3
12	runes	zh-CN	itype4	物品类型4
13	runes	zh-CN	itype5	物品类型5
14	runes	zh-CN	itype6	物品类型6
15	runes	zh-CN	etype1	装备类型1
16	runes	zh-CN	etype2	装备类型2
17	runes	zh-CN	etype3	装备类型3
18	runes	zh-CN	*RunesUsed	使用符文
19	runes	zh-CN	Rune1	符文1
20	runes	zh-CN	Rune2	符文2
21	runes	zh-CN	Rune3	符文3
22	runes	zh-CN	Rune4	符文4
23	runes	zh-CN	Rune5	符文5
24	runes	zh-CN	Rune6	符文6
25	runes	zh-CN	T1Code1	词缀1代码
26	runes	zh-CN	T1Param1	词缀1参数
27	runes	zh-CN	T1Min1	词缀1最小
28	runes	zh-CN	T1Max1	词缀1最大
29	runes	zh-CN	T1Code2	词缀2代码
30	runes	zh-CN	T1Param2	词缀2参数
31	runes	zh-CN	T1Min2	词缀2最小
32	runes	zh-CN	T1Max2	词缀2最大
33	runes	zh-CN	T1Code3	词缀3代码
34	runes	zh-CN	T1Param3	词缀3参数
35	runes	zh-CN	T1Min3	词缀3最小
36	runes	zh-CN	T1Max3	词缀3最大
37	runes	zh-CN	T1Code4	词缀4代码
38	runes	zh-CN	T1Param4	词缀4参数
39	runes	zh-CN	T1Min4	词缀4最小
40	runes	zh-CN	T1Max4	词缀4最大
41	runes	zh-CN	T1Code5	词缀5代码
42	runes	zh-CN	T1Param5	词缀5参数
43	runes	zh-CN	T1Min5	词缀5最小
44	runes	zh-CN	T1Max5	词缀5最大
45	runes	zh-CN	T1Code6	词缀6代码
46	runes	zh-CN	T1Param6	词缀6参数
47	runes	zh-CN	T1Min6	词缀6最小
48	runes	zh-CN	T1Max6	词缀6最大
49	runes	zh-CN	T1Code7	词缀7代码
50	runes	zh-CN	T1Param7	词缀7参数
51	runes	zh-CN	T1Min7	词缀7最小
52	runes	zh-CN	T1Max7	词缀7最大
53	runes	zh-CN	*eol	行结束标记
