序列号	原始表格名	语言	字段	说明
1	setitems	zh-CN	index	索引
2	setitems	zh-CN	*ID	编号
3	setitems	zh-CN	set	套装
4	setitems	zh-CN	disabled	禁用
5	setitems	zh-CN	spawnable	可生成
6	setitems	zh-CN	disableChronicle	禁用编年史
7	setitems	zh-CN	DropConditionCalc	掉落条件计算
8	setitems	zh-CN	firstLadderSeason	首次天梯赛季
9	setitems	zh-CN	lastLadderSeason	最后天梯赛季
10	setitems	zh-CN	item	物品
11	setitems	zh-CN	*ItemName	物品名称
12	setitems	zh-CN	rarity	稀有度
13	setitems	zh-CN	lvl	等级
14	setitems	zh-CN	lvl req	等级需求
15	setitems	zh-CN	chrtransform	角色变形
16	setitems	zh-CN	invtransform	背包变形
17	setitems	zh-CN	invfile	背包文件
18	setitems	zh-CN	flippyfile	翻转动画文件
19	setitems	zh-CN	dropsound	掉落音效
20	setitems	zh-CN	dropsfxframe	掉落特效帧
21	setitems	zh-CN	usesound	使用音效
22	setitems	zh-CN	cost mult	成本乘数
23	setitems	zh-CN	cost add	成本加成
24	setitems	zh-CN	add func	添加函数
25	setitems	zh-CN	prop1	属性1
26	setitems	zh-CN	par1	参数1
27	setitems	zh-CN	min1	最小1
28	setitems	zh-CN	max1	最大1
29	setitems	zh-CN	prop2	属性2
30	setitems	zh-CN	par2	参数2
31	setitems	zh-CN	min2	最小2
32	setitems	zh-CN	max2	最大2
33	setitems	zh-CN	prop3	属性3
34	setitems	zh-CN	par3	参数3
35	setitems	zh-CN	min3	最小3
36	setitems	zh-CN	max3	最大3
37	setitems	zh-CN	prop4	属性4
38	setitems	zh-CN	par4	参数4
39	setitems	zh-CN	min4	最小4
40	setitems	zh-CN	max4	最大4
41	setitems	zh-CN	prop5	属性5
42	setitems	zh-CN	par5	参数5
43	setitems	zh-CN	min5	最小5
44	setitems	zh-CN	max5	最大5
45	setitems	zh-CN	prop6	属性6
46	setitems	zh-CN	par6	参数6
47	setitems	zh-CN	min6	最小6
48	setitems	zh-CN	max6	最大6
49	setitems	zh-CN	prop7	属性7
50	setitems	zh-CN	par7	参数7
51	setitems	zh-CN	min7	最小7
52	setitems	zh-CN	max7	最大7
53	setitems	zh-CN	prop8	属性8
54	setitems	zh-CN	par8	参数8
55	setitems	zh-CN	min8	最小8
56	setitems	zh-CN	max8	最大8
57	setitems	zh-CN	prop9	属性9
58	setitems	zh-CN	par9	参数9
59	setitems	zh-CN	min9	最小9
60	setitems	zh-CN	max9	最大9
61	setitems	zh-CN	aprop1a	附加属性1a
62	setitems	zh-CN	apar1a	附加参数1a
63	setitems	zh-CN	amin1a	附加最小1a
64	setitems	zh-CN	amax1a	附加最大1a
65	setitems	zh-CN	aprop1b	附加属性1b
66	setitems	zh-CN	apar1b	附加参数1b
67	setitems	zh-CN	amin1b	附加最小1b
68	setitems	zh-CN	amax1b	附加最大1b
69	setitems	zh-CN	aprop2a	附加属性2a
70	setitems	zh-CN	apar2a	附加参数2a
71	setitems	zh-CN	amin2a	附加最小2a
72	setitems	zh-CN	amax2a	附加最大2a
73	setitems	zh-CN	aprop2b	附加属性2b
74	setitems	zh-CN	apar2b	附加参数2b
75	setitems	zh-CN	amin2b	附加最小2b
76	setitems	zh-CN	amax2b	附加最大2b
77	setitems	zh-CN	aprop3a	附加属性3a
78	setitems	zh-CN	apar3a	附加参数3a
79	setitems	zh-CN	amin3a	附加最小3a
80	setitems	zh-CN	amax3a	附加最大3a
81	setitems	zh-CN	aprop3b	附加属性3b
82	setitems	zh-CN	apar3b	附加参数3b
83	setitems	zh-CN	amin3b	附加最小3b
84	setitems	zh-CN	amax3b	附加最大3b
85	setitems	zh-CN	aprop4a	附加属性4a
86	setitems	zh-CN	apar4a	附加参数4a
87	setitems	zh-CN	amin4a	附加最小4a
88	setitems	zh-CN	amax4a	附加最大4a
89	setitems	zh-CN	aprop4b	附加属性4b
90	setitems	zh-CN	apar4b	附加参数4b
91	setitems	zh-CN	amin4b	附加最小4b
92	setitems	zh-CN	amax4b	附加最大4b
93	setitems	zh-CN	aprop5a	附加属性5a
94	setitems	zh-CN	apar5a	附加参数5a
95	setitems	zh-CN	amin5a	附加最小5a
96	setitems	zh-CN	amax5a	附加最大5a
97	setitems	zh-CN	aprop5b	附加属性5b
98	setitems	zh-CN	apar5b	附加参数5b
99	setitems	zh-CN	amin5b	附加最小5b
100	setitems	zh-CN	amax5b	附加最大5b
101	setitems	zh-CN	diablocloneweight	暗黑克隆权重
102	setitems	zh-CN	*eol	行结束标记
