序列号	原始表格名	语言	字段	说明
1	sets	zh-CN	index	索引
2	sets	zh-CN	name	套装名称
3	sets	zh-CN	version	版本
4	sets	zh-CN	PCode2a	2件属性代码a
5	sets	zh-CN	PParam2a	2件属性参数a
6	sets	zh-CN	PMin2a	2件属性最小a
7	sets	zh-CN	PMax2a	2件属性最大a
8	sets	zh-CN	PCode2b	2件属性代码b
9	sets	zh-CN	PParam2b	2件属性参数b
10	sets	zh-CN	PMin2b	2件属性最小b
11	sets	zh-CN	PMax2b	2件属性最大b
12	sets	zh-CN	PCode3a	3件属性代码a
13	sets	zh-CN	PParam3a	3件属性参数a
14	sets	zh-CN	PMin3a	3件属性最小a
15	sets	zh-CN	PMax3a	3件属性最大a
16	sets	zh-CN	PCode3b	3件属性代码b
17	sets	zh-CN	PParam3b	3件属性参数b
18	sets	zh-CN	PMin3b	3件属性最小b
19	sets	zh-CN	PMax3b	3件属性最大b
20	sets	zh-CN	PCode4a	4件属性代码a
21	sets	zh-CN	PParam4a	4件属性参数a
22	sets	zh-CN	PMin4a	4件属性最小a
23	sets	zh-CN	PMax4a	4件属性最大a
24	sets	zh-CN	PCode4b	4件属性代码b
25	sets	zh-CN	PParam4b	4件属性参数b
26	sets	zh-CN	PMin4b	4件属性最小b
27	sets	zh-CN	PMax4b	4件属性最大b
28	sets	zh-CN	PCode5a	5件属性代码a
29	sets	zh-CN	PParam5a	5件属性参数a
30	sets	zh-CN	PMin5a	5件属性最小a
31	sets	zh-CN	PMax5a	5件属性最大a
32	sets	zh-CN	PCode5b	5件属性代码b
33	sets	zh-CN	PParam5b	5件属性参数b
34	sets	zh-CN	PMin5b	5件属性最小b
35	sets	zh-CN	PMax5b	5件属性最大b
36	sets	zh-CN	FCode1	完全属性1代码
37	sets	zh-CN	FParam1	完全属性1参数
38	sets	zh-CN	FMin1	完全属性1最小
39	sets	zh-CN	FMax1	完全属性1最大
40	sets	zh-CN	FCode2	完全属性2代码
41	sets	zh-CN	FParam2	完全属性2参数
42	sets	zh-CN	FMin2	完全属性2最小
43	sets	zh-CN	FMax2	完全属性2最大
44	sets	zh-CN	FCode3	完全属性3代码
45	sets	zh-CN	FParam3	完全属性3参数
46	sets	zh-CN	FMin3	完全属性3最小
47	sets	zh-CN	FMax3	完全属性3最大
48	sets	zh-CN	FCode4	完全属性4代码
49	sets	zh-CN	FParam4	完全属性4参数
50	sets	zh-CN	FMin4	完全属性4最小
51	sets	zh-CN	FMax4	完全属性4最大
52	sets	zh-CN	FCode5	完全属性5代码
53	sets	zh-CN	FParam5	完全属性5参数
54	sets	zh-CN	FMin5	完全属性5最小
55	sets	zh-CN	FMax5	完全属性5最大
56	sets	zh-CN	FCode6	完全属性6代码
57	sets	zh-CN	FParam6	完全属性6参数
58	sets	zh-CN	FMin6	完全属性6最小
59	sets	zh-CN	FMax6	完全属性6最大
60	sets	zh-CN	FCode7	完全属性7代码
61	sets	zh-CN	FParam7	完全属性7参数
62	sets	zh-CN	FMin7	完全属性7最小
63	sets	zh-CN	FMax7	完全属性7最大
64	sets	zh-CN	FCode8	完全属性8代码
65	sets	zh-CN	FParam8	完全属性8参数
66	sets	zh-CN	FMin8	完全属性8最小
67	sets	zh-CN	FMax8	完全属性8最大
68	sets	zh-CN	UIClass	UI分类
69	sets	zh-CN	*eol	行结束标记
