序列号	原始表格名	语言	字段	说明
1	skilldesc	zh-CN	skilldesc	技能描述ID
2	skilldesc	zh-CN	SkillPage	技能页
3	skilldesc	zh-CN	SkillRow	技能行
4	skilldesc	zh-CN	SkillColumn	技能列
5	skilldesc	zh-CN	ListRow	列表行
6	skilldesc	zh-CN	IconCel	图标图像
7	skilldesc	zh-CN	HireableIconCel	可雇佣图标图像
8	skilldesc	zh-CN	str name	名称字符串
9	skilldesc	zh-CN	str short	短描述字符串
10	skilldesc	zh-CN	str long	长描述字符串
11	skilldesc	zh-CN	str alt	替代描述字符串
12	skilldesc	zh-CN	descdam	描述伤害
13	skilldesc	zh-CN	ddam calc1	伤害计算1
14	skilldesc	zh-CN	ddam calc2	伤害计算2
15	skilldesc	zh-CN	p1dmelem	伤害1元素
16	skilldesc	zh-CN	p1dmmin	伤害1最小
17	skilldesc	zh-CN	p1dmmax	伤害1最大
18	skilldesc	zh-CN	p2dmelem	伤害2元素
19	skilldesc	zh-CN	p2dmmin	伤害2最小
20	skilldesc	zh-CN	p2dmmax	伤害2最大
21	skilldesc	zh-CN	p3dmelem	伤害3元素
22	skilldesc	zh-CN	p3dmmin	伤害3最小
23	skilldesc	zh-CN	p3dmmax	伤害3最大
24	skilldesc	zh-CN	descatt	描述属性
25	skilldesc	zh-CN	descmissile1	描述投射物1
26	skilldesc	zh-CN	descmissile2	描述投射物2
27	skilldesc	zh-CN	descmissile3	描述投射物3
28	skilldesc	zh-CN	descline1	描述行1
29	skilldesc	zh-CN	desctexta1	描述文本A1
30	skilldesc	zh-CN	desctextb1	描述文本B1
31	skilldesc	zh-CN	desccalca1	描述计算A1
32	skilldesc	zh-CN	desccalcb1	描述计算B1
33	skilldesc	zh-CN	descline2	描述行2
34	skilldesc	zh-CN	desctexta2	描述文本A2
35	skilldesc	zh-CN	desctextb2	描述文本B2
36	skilldesc	zh-CN	desccalca2	描述计算A2
37	skilldesc	zh-CN	desccalcb2	描述计算B2
38	skilldesc	zh-CN	descline3	描述行3
39	skilldesc	zh-CN	desctexta3	描述文本A3
40	skilldesc	zh-CN	desctextb3	描述文本B3
41	skilldesc	zh-CN	desccalca3	描述计算A3
42	skilldesc	zh-CN	desccalcb3	描述计算B3
43	skilldesc	zh-CN	descline4	描述行4
44	skilldesc	zh-CN	desctexta4	描述文本A4
45	skilldesc	zh-CN	desctextb4	描述文本B4
46	skilldesc	zh-CN	desccalca4	描述计算A4
47	skilldesc	zh-CN	desccalcb4	描述计算B4
48	skilldesc	zh-CN	descline5	描述行5
49	skilldesc	zh-CN	desctexta5	描述文本A5
50	skilldesc	zh-CN	desctextb5	描述文本B5
51	skilldesc	zh-CN	desccalca5	描述计算A5
