序列号	原始表格名	语言	字段	说明
1	skills	zh-CN	skill	技能名称
2	skills	zh-CN	*Id	编号
3	skills	zh-CN	charclass	职业
4	skills	zh-CN	skilldesc	技能描述
5	skills	zh-CN	srvstfunc	服务端开始函数
6	skills	zh-CN	srvdofunc	服务端执行函数
7	skills	zh-CN	srvstopfunc	服务端停止函数
8	skills	zh-CN	prgstack	进度堆栈
9	skills	zh-CN	srvprgfunc1	服务端进度函数1
10	skills	zh-CN	srvprgfunc2	服务端进度函数2
11	skills	zh-CN	srvprgfunc3	服务端进度函数3
12	skills	zh-CN	prgcalc1	进度计算1
13	skills	zh-CN	prgcalc2	进度计算2
14	skills	zh-CN	prgcalc3	进度计算3
15	skills	zh-CN	prgdam	进度伤害
16	skills	zh-CN	srvmissile	服务端投射物
17	skills	zh-CN	decquant	减少数量
18	skills	zh-CN	lob	抛物线
19	skills	zh-CN	srvmissilea	服务端投射物A
20	skills	zh-CN	srvmissileb	服务端投射物B
21	skills	zh-CN	srvmissilec	服务端投射物C
22	skills	zh-CN	useServerMissilesOnRemoteClients	远程客户端使用服务端投射物
23	skills	zh-CN	srvoverlay	服务端覆盖层
24	skills	zh-CN	aurafilter	光环过滤
25	skills	zh-CN	aurastate	光环状态
26	skills	zh-CN	auratargetstate	光环目标状态
27	skills	zh-CN	auralencalc	光环持续时间计算
28	skills	zh-CN	aurarangecalc	光环范围计算
29	skills	zh-CN	aurastat1	光环属性1
30	skills	zh-CN	aurastatcalc1	光环属性计算1
31	skills	zh-CN	aurastat2	光环属性2
32	skills	zh-CN	aurastatcalc2	光环属性计算2
33	skills	zh-CN	aurastat3	光环属性3
34	skills	zh-CN	aurastatcalc3	光环属性计算3
35	skills	zh-CN	aurastat4	光环属性4
36	skills	zh-CN	aurastatcalc4	光环属性计算4
37	skills	zh-CN	aurastat5	光环属性5
38	skills	zh-CN	aurastatcalc5	光环属性计算5
39	skills	zh-CN	aurastat6	光环属性6
40	skills	zh-CN	aurastatcalc6	光环属性计算6
41	skills	zh-CN	auraevent1	光环事件1
42	skills	zh-CN	auraeventfunc1	光环事件函数1
43	skills	zh-CN	auraevent2	光环事件2
44	skills	zh-CN	auraeventfunc2	光环事件函数2
45	skills	zh-CN	auraevent3	光环事件3
46	skills	zh-CN	auraeventfunc3	光环事件函数3
47	skills	zh-CN	auraevent4	光环事件4
48	skills	zh-CN	auraeventfunc4	光环事件函数4
49	skills	zh-CN	passivestate	被动状态
50	skills	zh-CN	passiveitype	被动物品类型
51	skills	zh-CN	passivereqweaponcount	被动需求武器数量
52	skills	zh-CN	passivestat1	被动属性1
53	skills	zh-CN	passivecalc1	被动计算1
54	skills	zh-CN	passivestat2	被动属性2
55	skills	zh-CN	passivecalc2	被动计算2
56	skills	zh-CN	passivestat3	被动属性3
57	skills	zh-CN	passivecalc3	被动计算3
58	skills	zh-CN	passivestat4	被动属性4
59	skills	zh-CN	passivecalc4	被动计算4
60	skills	zh-CN	passivestat5	被动属性5
61	skills	zh-CN	passivecalc5	被动计算5
62	skills	zh-CN	passivestat6	被动属性6
63	skills	zh-CN	passivecalc6	被动计算6
64	skills	zh-CN	passivestat7	被动属性7
65	skills	zh-CN	passivecalc7	被动计算7
66	skills	zh-CN	passivestat8	被动属性8
67	skills	zh-CN	passivecalc8	被动计算8
68	skills	zh-CN	passivestat9	被动属性9
69	skills	zh-CN	passivecalc9	被动计算9
70	skills	zh-CN	passivestat10	被动属性10
71	skills	zh-CN	passivecalc10	被动计算10
72	skills	zh-CN	passivestat11	被动属性11
73	skills	zh-CN	passivecalc11	被动计算11
74	skills	zh-CN	passivestat12	被动属性12
75	skills	zh-CN	passivecalc12	被动计算12
76	skills	zh-CN	passivestat13	被动属性13
77	skills	zh-CN	passivecalc13	被动计算13
78	skills	zh-CN	passivestat14	被动属性14
79	skills	zh-CN	passivecalc14	被动计算14
80	skills	zh-CN	summon	召唤
81	skills	zh-CN	pettype	宠物类型
82	skills	zh-CN	petmax	宠物最大数
83	skills	zh-CN	requirespettype	需求宠物类型
84	skills	zh-CN	sumskill1	召唤技能1
85	skills	zh-CN	sumsk1calc	召唤技能计算1
86	skills	zh-CN	sumskill2	召唤技能2
87	skills	zh-CN	sumsk2calc	召唤技能计算2
88	skills	zh-CN	sumskill3	召唤技能3
89	skills	zh-CN	sumsk3calc	召唤技能计算3
90	skills	zh-CN	sumskill4	召唤技能4
91	skills	zh-CN	sumsk4calc	召唤技能计算4
92	skills	zh-CN	sumskill5	召唤技能5
93	skills	zh-CN	sumsk5calc	召唤技能计算5
94	skills	zh-CN	sumumod	召唤词缀
95	skills	zh-CN	sumoverlay	召唤覆盖层
96	skills	zh-CN	stsuccessonly	仅成功触发
97	skills	zh-CN	stsound	开始音效
98	skills	zh-CN	stsoundclass	开始音效类别
99	skills	zh-CN	stsounddelay	开始音效延迟
100	skills	zh-CN	weaponsnd	武器音效
101	skills	zh-CN	dosound	结束音效
102	skills	zh-CN	dosound a	结束音效A
103	skills	zh-CN	dosound b	结束音效B
104	skills	zh-CN	tgtoverlay	目标覆盖层
105	skills	zh-CN	tgtsound	目标音效
106	skills	zh-CN	prgoverlay	进度覆盖层
107	skills	zh-CN	prgsound	进度音效
108	skills	zh-CN	castoverlay	施法覆盖层
109	skills	zh-CN	cltoverlaya	客户端覆盖层A
110	skills	zh-CN	cltoverlayb	客户端覆盖层B
111	skills	zh-CN	cltstfunc	客户端开始函数
112	skills	zh-CN	cltdofunc	客户端执行函数
113	skills	zh-CN	cltstopfunc	客户端停止函数
114	skills	zh-CN	cltprgfunc1	客户端进度函数1
115	skills	zh-CN	cltprgfunc2	客户端进度函数2
116	skills	zh-CN	cltprgfunc3	客户端进度函数3
117	skills	zh-CN	cltmissile	客户端投射物
118	skills	zh-CN	cltmissilea	客户端投射物A
119	skills	zh-CN	cltmissileb	客户端投射物B
120	skills	zh-CN	cltmissilec	客户端投射物C
121	skills	zh-CN	cltmissiled	客户端投射物D
122	skills	zh-CN	cltcalc1	客户端计算1
123	skills	zh-CN	*cltcalc1 desc	客户端计算1描述
124	skills	zh-CN	cltcalc2	客户端计算2
125	skills	zh-CN	*cltcalc2 desc	客户端计算2描述
126	skills	zh-CN	cltcalc3	客户端计算3
127	skills	zh-CN	*cltcalc3 desc	客户端计算3描述
128	skills	zh-CN	warp	传送
129	skills	zh-CN	immediate	即时
130	skills	zh-CN	enhanceable	可增强
131	skills	zh-CN	attackrank	攻击排名
132	skills	zh-CN	noammo	无弹药
133	skills	zh-CN	range	范围
134	skills	zh-CN	weapsel	武器选择
135	skills	zh-CN	requiresweapon	需求武器
136	skills	zh-CN	itypea1	物品类型A1
137	skills	zh-CN	itypea2	物品类型A2
138	skills	zh-CN	itypea3	物品类型A3
139	skills	zh-CN	etypea1	装备类型A1
140	skills	zh-CN	etypea2	装备类型A2
141	skills	zh-CN	itypeb1	物品类型B1
142	skills	zh-CN	itypeb2	物品类型B2
143	skills	zh-CN	itypeb3	物品类型B3
144	skills	zh-CN	etypeb1	装备类型B1
145	skills	zh-CN	etypeb2	装备类型B2
146	skills	zh-CN	anim	动画
147	skills	zh-CN	seqtrans	序列转换
148	skills	zh-CN	monanim	怪物动画
149	skills	zh-CN	seqnum	序列号
150	skills	zh-CN	seqinput	序列输入
151	skills	zh-CN	durability	耐久度
152	skills	zh-CN	UseAttackRate	使用攻击速率
153	skills	zh-CN	LineOfSight	视线
154	skills	zh-CN	TargetableOnly	仅可指定目标
155	skills	zh-CN	SearchEnemyXY	搜索敌人XY
156	skills	zh-CN	SearchEnemyNear	搜索附近敌人
157	skills	zh-CN	SearchOpenXY	搜索开放XY
158	skills	zh-CN	SelectProc	选择触发
159	skills	zh-CN	TargetCorpse	目标尸体
160	skills	zh-CN	TargetPet	目标宠物
161	skills	zh-CN	TargetAlly	目标盟友
162	skills	zh-CN	TargetItem	目标物品
163	skills	zh-CN	AttackNoMana	无法力攻击
164	skills	zh-CN	TgtPlaceCheck	目标位置检查
165	skills	zh-CN	KeepCursorStateOnKill	击杀时保持光标状态
166	skills	zh-CN	ContinueCastUnselected	未选中时继续施放
167	skills	zh-CN	ClearSelectedOnHold	按住时清除选中
168	skills	zh-CN	ItemEffect	物品效果
169	skills	zh-CN	ItemCltEffect	物品客户端效果
170	skills	zh-CN	ItemTgtDo	物品目标执行
171	skills	zh-CN	ItemTarget	物品目标
172	skills	zh-CN	ItemUseRes	物品使用限制
