序列号	原始表格名	语言	字段	说明
1	states	zh-CN	state	状态
2	states	zh-CN	*ID	ID
3	states	zh-CN	group	组
4	states	zh-CN	remhit	移除命中
5	states	zh-CN	nosend	不发送
6	states	zh-CN	transform	变形
7	states	zh-CN	aura	光环
8	states	zh-CN	curable	可治愈
9	states	zh-CN	curse	诅咒
10	states	zh-CN	active	激活
11	states	zh-CN	restrict	限制
12	states	zh-CN	disguise	伪装
13	states	zh-CN	attblue	攻击蓝色
14	states	zh-CN	damblue	伤害蓝色
15	states	zh-CN	armblue	护甲蓝色
16	states	zh-CN	rfblue	右脚蓝色
17	states	zh-CN	rlblue	右腿蓝色
18	states	zh-CN	rcblue	右部蓝色
19	states	zh-CN	stambarblue	状态栏蓝色
20	states	zh-CN	rpblue	反叛蓝色
21	states	zh-CN	attred	攻击红色
22	states	zh-CN	damred	伤害红色
23	states	zh-CN	armred	护甲红色
24	states	zh-CN	rfred	右脚红色
25	states	zh-CN	rlred	右腿红色
26	states	zh-CN	rcred	右部红色
27	states	zh-CN	rpred	反叛红色
28	states	zh-CN	exp	经验
29	states	zh-CN	plrstaydeath	玩家停留死亡
30	states	zh-CN	monstaydeath	怪物停留死亡
31	states	zh-CN	bossstaydeath	首领停留死亡
32	states	zh-CN	hide	隐藏
33	states	zh-CN	hidedead	隐藏死亡
34	states	zh-CN	shatter	粉碎
35	states	zh-CN	udead	玩家死亡
36	states	zh-CN	life	生命
37	states	zh-CN	green	绿色
38	states	zh-CN	pgsv	玩家增益状态
39	states	zh-CN	nooverlays	无覆盖
40	states	zh-CN	noclear	不清除
41	states	zh-CN	bossinv	首领无形
42	states	zh-CN	meleeonly	仅近战
43	states	zh-CN	notondead	不在死亡时
44	states	zh-CN	overlay1	覆盖1
45	states	zh-CN	overlay2	覆盖2
46	states	zh-CN	overlay3	覆盖3
47	states	zh-CN	overlay4	覆盖4
48	states	zh-CN	pgsvoverlay	玩家增益覆盖
49	states	zh-CN	castoverlay	施法覆盖
50	states	zh-CN	removerlay	移除覆盖
51	states	zh-CN	stat	属性
52	states	zh-CN	setfunc	设置函数
53	states	zh-CN	remfunc	移除函数
54	states	zh-CN	missile	投射物
55	states	zh-CN	skill	技能
56	states	zh-CN	itemtype	物品类型
57	states	zh-CN	itemtrans	物品变形
58	states	zh-CN	colorpri	颜色优先级
59	states	zh-CN	colorshift	颜色偏移
60	states	zh-CN	light-r	红色光源
61	states	zh-CN	light-g	绿色光源
62	states	zh-CN	light-b	蓝色光源
63	states	zh-CN	onsound	开启声音
64	states	zh-CN	offsound	关闭声音
65	states	zh-CN	gfxtype	图像类型
66	states	zh-CN	gfxclass	图像类
67	states	zh-CN	cltevent	客户端事件
68	states	zh-CN	clteventfunc	客户端事件函数
69	states	zh-CN	cltactivefunc	客户端激活函数
70	states	zh-CN	srvactivefunc	服务器激活函数
71	states	zh-CN	canstack	可堆叠
72	states	zh-CN	sunderfull	完全粉碎
73	states	zh-CN	sunder-res-reduce	粉碎抗性减少
74	states	zh-CN	vfxweaponstate	武器特效状态
75	states	zh-CN	*eol	结束
