序列号	原始表格名	语言	字段	说明
1	treasureclassex	zh-CN	Treasure Class	宝藏阶级
2	treasureclassex	zh-CN	group	组
3	treasureclassex	zh-CN	level	等级
4	treasureclassex	zh-CN	Picks	选择数
5	treasureclassex	zh-CN	Unique	_unique
6	treasureclassex	zh-CN	Set	套装
7	treasureclassex	zh-CN	Rare	rare
8	treasureclassex	zh-CN	Magic	魔法
9	treasureclassex	zh-CN	NoDrop	不掉落
10	treasureclassex	zh-CN	Item1	物品1
11	treasureclassex	zh-CN	Prob1	概率1
12	treasureclassex	zh-CN	Item2	物品2
13	treasureclassex	zh-CN	Prob2	概率2
14	treasureclassex	zh-CN	Item3	物品3
15	treasureclassex	zh-CN	Prob3	概率3
16	treasureclassex	zh-CN	Item4	物品4
17	treasureclassex	zh-CN	Prob4	概率4
18	treasureclassex	zh-CN	Item5	物品5
19	treasureclassex	zh-CN	Prob5	概率5
20	treasureclassex	zh-CN	Item6	物品6
21	treasureclassex	zh-CN	Prob6	概率6
22	treasureclassex	zh-CN	Item7	物品7
23	treasureclassex	zh-CN	Prob7	概率7
24	treasureclassex	zh-CN	Item8	物品8
25	treasureclassex	zh-CN	Prob8	概率8
26	treasureclassex	zh-CN	Item9	物品9
27	treasureclassex	zh-CN	Prob9	概率9
28	treasureclassex	zh-CN	Item10	物品10
29	treasureclassex	zh-CN	Prob10	概率10
30	treasureclassex	zh-CN	*ItemProbSum	物品概率总和
31	treasureclassex	zh-CN	*ItemProbTotal	物品概率总计
32	treasureclassex	zh-CN	*TreasureClassDropChance	宝藏掉落几率
33	treasureclassex	zh-CN	ConditionCalc	条件计算
34	treasureclassex	zh-CN	firstLadderSeason	首个天梯赛季
35	treasureclassex	zh-CN	lastLadderSeason	最后天梯赛季
36	treasureclassex	zh-CN	noAlwaysSpawn	非总是生成
37	treasureclassex	zh-CN	QuestFlag	任务标记
38	treasureclassex	zh-CN	QuestFlagEx	任务标记扩展
39	treasureclassex	zh-CN	*eol	结束
