序列号	原始表格名	语言	字段	说明
1	uniqueitems	zh-CN	index	索引
2	uniqueitems	zh-CN	*ID	ID
3	uniqueitems	zh-CN	version	版本
4	uniqueitems	zh-CN	disabled	禁用
5	uniqueitems	zh-CN	spawnable	可生成
6	uniqueitems	zh-CN	disableChronicle	禁用编年史
7	uniqueitems	zh-CN	DropConditionCalc	掉落条件计算
8	uniqueitems	zh-CN	firstLadderSeason	首个天梯赛季
9	uniqueitems	zh-CN	lastLadderSeason	最后天梯赛季
10	uniqueitems	zh-CN	rarity	稀有度
11	uniqueitems	zh-CN	nolimit	无限制
12	uniqueitems	zh-CN	lvl	等级
13	uniqueitems	zh-CN	lvl req	等级需求
14	uniqueitems	zh-CN	code	代码
15	uniqueitems	zh-CN	*ItemName	物品名称
16	uniqueitems	zh-CN	carry1	携带1
17	uniqueitems	zh-CN	cost mult	成本倍数
18	uniqueitems	zh-CN	cost add	成本加成
19	uniqueitems	zh-CN	chrtransform	角色转换
20	uniqueitems	zh-CN	invtransform	物品栏转换
21	uniqueitems	zh-CN	flippyfile	翻转文件
22	uniqueitems	zh-CN	invfile	物品栏文件
23	uniqueitems	zh-CN	dropsound	掉落声音
24	uniqueitems	zh-CN	dropsfxframe	掉落特效帧
25	uniqueitems	zh-CN	usesound	使用声音
26	uniqueitems	zh-CN	prop1	属性1
27	uniqueitems	zh-CN	par1	参数1
28	uniqueitems	zh-CN	min1	最小1
29	uniqueitems	zh-CN	max1	最大1
30	uniqueitems	zh-CN	prop2	属性2
31	uniqueitems	zh-CN	par2	参数2
32	uniqueitems	zh-CN	min2	最小2
33	uniqueitems	zh-CN	max2	最大2
34	uniqueitems	zh-CN	prop3	属性3
35	uniqueitems	zh-CN	par3	参数3
36	uniqueitems	zh-CN	min3	最小3
37	uniqueitems	zh-CN	max3	最大3
38	uniqueitems	zh-CN	prop4	属性4
39	uniqueitems	zh-CN	par4	参数4
40	uniqueitems	zh-CN	min4	最小4
41	uniqueitems	zh-CN	max4	最大4
42	uniqueitems	zh-CN	prop5	属性5
43	uniqueitems	zh-CN	par5	参数5
44	uniqueitems	zh-CN	min5	最小5
45	uniqueitems	zh-CN	max5	最大5
46	uniqueitems	zh-CN	prop6	属性6
47	uniqueitems	zh-CN	par6	参数6
48	uniqueitems	zh-CN	min6	最小6
49	uniqueitems	zh-CN	max6	最大6
50	uniqueitems	zh-CN	prop7	属性7
51	uniqueitems	zh-CN	par7	参数7
52	uniqueitems	zh-CN	min7	最小7
53	uniqueitems	zh-CN	max7	最大7
54	uniqueitems	zh-CN	prop8	属性8
55	uniqueitems	zh-CN	par8	参数8
56	uniqueitems	zh-CN	min8	最小8
57	uniqueitems	zh-CN	max8	最大8
58	uniqueitems	zh-CN	prop9	属性9
59	uniqueitems	zh-CN	par9	参数9
60	uniqueitems	zh-CN	min9	最小9
61	uniqueitems	zh-CN	max9	最大9
62	uniqueitems	zh-CN	prop10	属性10
63	uniqueitems	zh-CN	par10	参数10
64	uniqueitems	zh-CN	min10	最小10
65	uniqueitems	zh-CN	max10	最大10
66	uniqueitems	zh-CN	prop11	属性11
67	uniqueitems	zh-CN	par11	参数11
68	uniqueitems	zh-CN	min11	最小11
69	uniqueitems	zh-CN	max11	最大11
70	uniqueitems	zh-CN	prop12	属性12
71	uniqueitems	zh-CN	par12	参数12
72	uniqueitems	zh-CN	min12	最小12
73	uniqueitems	zh-CN	max12	最大12
74	uniqueitems	zh-CN	diablocloneweight	迪亚波罗克隆权重
75	uniqueitems	zh-CN	*eol	结束
