序列号	原始表格名	语言	字段	说明
1	weapons	zh-CN	name	武器名称
2	weapons	zh-CN	type	武器类型
3	weapons	zh-CN	type2	武器类型2
4	weapons	zh-CN	code	物品代码
5	weapons	zh-CN	alternategfx	替代图形
6	weapons	zh-CN	namestr	名称字符串
7	weapons	zh-CN	version	版本
8	weapons	zh-CN	compactsave	压缩保存
9	weapons	zh-CN	rarity	稀有度
10	weapons	zh-CN	spawnable	可生成
11	weapons	zh-CN	DropConditionCalc	掉落条件计算
12	weapons	zh-CN	Transmogrify	可转化
13	weapons	zh-CN	TMogType	外观类型
14	weapons	zh-CN	TMogMin	外观最小等级
15	weapons	zh-CN	TMogMax	外观最大等级
16	weapons	zh-CN	mindam	最小伤害
17	weapons	zh-CN	maxdam	最大伤害
18	weapons	zh-CN	1or2handed	单手或双手
19	weapons	zh-CN	2handed	双手武器
20	weapons	zh-CN	2handmindam	双手最小伤害
21	weapons	zh-CN	2handmaxdam	双手最大伤害
22	weapons	zh-CN	minmisdam	最小投射伤害
23	weapons	zh-CN	maxmisdam	最大投射伤害
24	weapons	zh-CN	rangeadder	攻击距离加成
25	weapons	zh-CN	speed	攻击速度
26	weapons	zh-CN	StrBonus	力量加成
27	weapons	zh-CN	DexBonus	敏捷加成
28	weapons	zh-CN	reqstr	力量需求
29	weapons	zh-CN	reqdex	敏捷需求
30	weapons	zh-CN	durability	耐久度
31	weapons	zh-CN	nodurability	无耐久度
32	weapons	zh-CN	level	物品等级
33	weapons	zh-CN	ShowLevel	显示等级
34	weapons	zh-CN	levelreq	等级需求
35	weapons	zh-CN	cost	售价
36	weapons	zh-CN	gamble cost	赌博成本
37	weapons	zh-CN	magic lvl	魔法等级
38	weapons	zh-CN	auto prefix	自动前缀
39	weapons	zh-CN	normcode	普通物品代码
40	weapons	zh-CN	ubercode	精华物品代码
41	weapons	zh-CN	ultracode	终极物品代码
42	weapons	zh-CN	wclass	武器攻击类别
43	weapons	zh-CN	2handedwclass	双手武器攻击类别
44	weapons	zh-CN	component	组件
45	weapons	zh-CN	hit class	打击类别
46	weapons	zh-CN	invwidth	背包宽度
47	weapons	zh-CN	invheight	背包高度
48	weapons	zh-CN	stackable	可堆叠
49	weapons	zh-CN	minstack	最小堆叠
50	weapons	zh-CN	maxstack	最大堆叠
51	weapons	zh-CN	spawnstack	生成堆叠
52	weapons	zh-CN	flippyfile	翻转动画文件
53	weapons	zh-CN	invfile	背包图形文件
54	weapons	zh-CN	uniqueinvfile	暗金背包图形
55	weapons	zh-CN	setinvfile	套装背包图形
56	weapons	zh-CN	hasinv	有背包
57	weapons	zh-CN	gemsockets	宝石插槽
58	weapons	zh-CN	gemapplytype	宝石应用类型
59	weapons	zh-CN	*comment	注释
60	weapons	zh-CN	useable	可使用
61	weapons	zh-CN	dropsound	掉落音效
62	weapons	zh-CN	dropsfxframe	掉落特效帧
63	weapons	zh-CN	usesound	使用音效
64	weapons	zh-CN	unique	暗金物品
65	weapons	zh-CN	transparent	透明
66	weapons	zh-CN	transtbl	透明表
67	weapons	zh-CN	*quivered	箭袋
68	weapons	zh-CN	lightradius	光源半径
69	weapons	zh-CN	belt	腰带
70	weapons	zh-CN	quest	任务物品
71	weapons	zh-CN	questdiffcheck	任务难度检查
72	weapons	zh-CN	missiletype	投射物类型
73	weapons	zh-CN	durwarning	耐久警告
74	weapons	zh-CN	qntwarning	数量警告
75	weapons	zh-CN	gemoffset	宝石偏移
76	weapons	zh-CN	bitfield1	位域1
77	weapons	zh-CN	CharsiMin	恰西最小值
78	weapons	zh-CN	CharsiMax	恰西最大值
79	weapons	zh-CN	CharsiMagicMin	恰西魔法最小
80	weapons	zh-CN	CharsiMagicMax	恰西魔法最大
81	weapons	zh-CN	CharsiMagicLvl	恰西魔法等级
82	weapons	zh-CN	GheedMin	基德最小值
83	weapons	zh-CN	GheedMax	基德最大值
84	weapons	zh-CN	GheedMagicMin	基德魔法最小
85	weapons	zh-CN	GheedMagicMax	基德魔法最大
86	weapons	zh-CN	GheedMagicLvl	基德魔法等级
87	weapons	zh-CN	AkaraMin	阿卡拉最小值
88	weapons	zh-CN	AkaraMax	阿卡拉最大值
89	weapons	zh-CN	AkaraMagicMin	阿卡拉魔法最小
